ID,Variable 1,Dependency,Variable 2
1,N81,->,N712
2,N738,->,N636
3,N81,->,N636
4,N519,->,N328
5,N783,->,N547
6,N783,->,N454
7,N783,->,N558
8,N738,->,N540
9,N81,->,N622
10,N81,->,N368
11,N100,->,N245
12,N414,->,N726
13,N783,->,N781
14,N81,->,N665
15,N81,->,N666
16,N81,->,N198
17,N81,->,N144
18,N738,->,N209
19,N422,->,N570
20,N81,->,N570
21,N81,->,N377
22,N100,->,N296
23,N422,->,N629
24,N783,->,N640
25,N783,->,N679
26,N738,->,N86
27,N783,->,N187
28,N81,->,N211
29,N100,->,N412
30,N422,->,N627
31,N738,->,N627
32,N81,->,N248
33,N627,->,N661
34,N570,->,N234
35,N570,->,N651
36,N570,->,N699
37,N198,->,N63
38,N738,->,N63
39,N570,->,N623
40,N558,->,N96
41,N781,->,N26
42,N570,->,N464
43,N198,->,N686
44,N781,->,N603
45,N209,->,N8
46,N783,->,N181
47,N86,->,N181
48,N570,->,N219
49,N558,->,N126
50,N783,->,N126
51,N570,->,N38
52,N570,->,N378
53,N558,->,N739
54,N558,->,N363
55,N570,->,N585
56,N570,->,N61
57,N81,->,N61
58,N726,->,N78
59,N558,->,N256
60,N570,->,N256
61,N570,->,N576
62,N679,->,N155
63,N627,->,N281
64,N570,->,N460
65,N558,->,N269
66,N783,->,N269
67,N558,->,N342
68,N570,->,N554
69,N198,->,N779
70,N570,->,N767
71,N81,->,N767
72,N558,->,N161
73,N570,->,N598
74,N570,->,N135
75,N781,->,N20
76,N603,->,N108
77,N81,->,N108
78,N414,->,N452
79,N603,->,N452
80,N726,->,N452
81,N63,->,N444
82,N738,->,N444
83,N585,->,N539
84,N61,->,N480
85,N738,->,N480
86,N570,->,N111
87,N61,->,N111
88,N81,->,N111
89,N779,->,N798
90,N699,->,N600
91,N108,->,N272
92,N414,->,N272
93,N452,->,N272
94,N603,->,N272
95,N726,->,N272
96,N111,->,N537
97,N539,->,N360
98,N539,->,N4
99,N539,->,N758
100,N539,->,N93
101,N539,->,N596
102,N111,->,N496
103,N539,->,N197
104,N539,->,N778
105,N600,->,N443
106,N444,->,N299
107,N443,->,N101
108,N20,->,N573
109,N443,->,N573
110,N443,->,N565
111,N272,->,N289
112,N414,->,N289
113,N452,->,N289
114,N726,->,N289
115,N272,->,N560
116,N627,->,N560
117,N726,->,N560
118,N573,->,N226
119,N560,->,N793
120,N629,->,N793
121,N81,->,N793
122,N289,->,N786
123,N414,->,N786
124,N726,->,N786
125,N414,->,N47
126,N422,->,N47
127,N452,->,N47
128,N629,->,N47
129,N793,->,N47
130,N422,->,N736
131,N47,->,N736
132,N422,->,N479
133,N47,->,N479
134,N629,->,N479
135,N793,->,N479
136,N414,->,N331
137,N422,->,N331
138,N452,->,N331
139,N47,->,N331
140,N479,->,N331
141,N331,->,N13
142,N422,->,N13
143,N331,->,N714
144,N422,->,N714
145,N452,->,N714
146,N47,->,N714
147,N479,->,N714
148,N629,->,N714
149,N479,->,N677
150,N714,->,N677
