ID,Variable 1,Dependency,Variable 2
1,komm,->,nedbarea
2,jordtype,->,nmin
3,nedbarea,->,nmin
4,komm,->,aar_mod
5,jordtype,->,aar_mod
6,jordtype,->,potnmin
7,forfrugt,->,potnmin
8,nmin,->,jordn
9,aar_mod,->,jordn
10,potnmin,->,jordn
11,jordtype,->,exptgens
12,forfrugt,->,exptgens
13,pesticid,->,exptgens
14,nmin,->,mod_nmin
15,aar_mod,->,mod_nmin
16,forfrugt,->,ngodnt
17,exptgens,->,ngodnt
18,mod_nmin,->,ngodnt
19,exptgens,->,nopt
20,pesticid,->,nopt
21,nopt,->,ngodnn
22,jordn,->,ngodnn
23,ngodnt,->,ngodn
24,ngodnn,->,ngodn
25,jordn,->,nprot
26,ngodn,->,nprot
27,jordtype,->,rokap
28,saatid,->,dgv1059
29,rokap,->,dgv1059
30,sort,->,srtprot
31,saatid,->,dg25
32,ngodn,->,ngtilg
33,nplac,->,ngtilg
34,dg25,->,ngtilg
35,ngtilg,->,ntilg
36,jordn,->,ntilg
37,saamng,->,saakern
38,tkvs,->,saakern
39,saatid,->,frspdag
40,frspdag,->,jordinf
41,partigerm,->,markgrm
42,jordinf,->,markgrm
43,saakern,->,antplnt
44,markgrm,->,antplnt
45,sort,->,sorttkv
46,antplnt,->,aks_m2
47,ntilg,->,aks_m2
48,dgv1059,->,aks_m2
49,sorttkv,->,aks_m2
50,ntilg,->,keraks
51,dgv1059,->,keraks
52,aks_m2,->,keraks
53,rokap,->,dgv5980
54,ntilg,->,aks_vgt
55,dgv5980,->,aks_vgt
56,aks_m2,->,aks_vgt
57,sort,->,srtsize
58,keraks,->,ksort
59,aks_vgt,->,ksort
60,srtsize,->,ksort
61,nprot,->,protein
62,dgv1059,->,protein
63,srtprot,->,protein
64,ksort,->,protein
65,aks_m2,->,udb
66,aks_vgt,->,udb
67,ntilg,->,spndx
68,dgv5980,->,spndx
69,ksort,->,spndx
70,aks_m2,->,tkv
71,keraks,->,tkv
72,ntilg,->,tkv
73,sorttkv,->,tkv
74,keraks,->,slt22
75,aks_vgt,->,slt22
76,srtsize,->,slt22
77,keraks,->,s2225
78,aks_vgt,->,s2225
79,srtsize,->,s2225
80,keraks,->,s2528
81,aks_vgt,->,s2528
82,srtsize,->,s2528
83,dgv1059,->,bgbyg
84,dgv5980,->,bgbyg
