ID,Variable 1,Dependency,Variable 2
1,Majority_COVID_19_variant,->,Reinfections
2,Season,->,Reinfections
3,Majority_COVID_19_variant,->,New_infections
4,Season,->,New_infections
5,New_infections,->,Positive_tests
6,Reinfections,->,Positive_tests
7,Tests_across_all_4_Pillars,->,Positive_tests
8,Majority_COVID_19_variant,->,Hospital_admissions
9,Positive_tests,->,Hospital_admissions
10,Hospital_admissions,->,Patients_in_hospital
11,Majority_COVID_19_variant,->,Patients_in_MVBs
12,Patients_in_hospital,->,Patients_in_MVBs
13,Majority_COVID_19_variant,->,Deaths_with_COVID_on_certificate
14,Patients_in_MVBs,->,Deaths_with_COVID_on_certificate
15,Patients_in_hospital,->,Deaths_with_COVID_on_certificate
16,Deaths_with_COVID_on_certificate,->,Lockdown
17,Majority_COVID_19_variant,->,Lockdown
18,Patients_in_MVBs,->,Lockdown
19,Patients_in_hospital,->,Lockdown
20,Season,->,Lockdown
21,Deaths_with_COVID_on_certificate,->,Second_dose_uptake
22,Majority_COVID_19_variant,->,Second_dose_uptake
23,Positive_tests,->,Second_dose_uptake
24,Deaths_with_COVID_on_certificate,->,Excess_mortality
25,Lockdown,->,Excess_mortality
26,Lockdown,->,Leisure_activity
27,Season,->,Leisure_activity
28,Deaths_with_COVID_on_certificate,->,Face_masks
29,Lockdown,->,Face_masks
30,Patients_in_MVBs,->,Face_masks
31,Patients_in_hospital,->,Face_masks
32,Lockdown,->,Work_and_school_activity
33,Season,->,Work_and_school_activity
34,Leisure_activity,->,Transportation_activity
35,Lockdown,->,Transportation_activity
36,Season,->,Transportation_activity
37,Work_and_school_activity,->,Transportation_activity
