ID,Variable 1,Dependency,Variable 2
1,b1191,->,fixC
2,cspG,->,yedE
3,eutG,->,sucA
4,cspG,->,cspA
5,cspG,->,yecO
6,yedE,->,lpdA
7,sucA,->,dnaJ
8,fixC,->,yjbO
9,eutG,->,yceP
10,fixC,->,yceP
11,cspA,->,yfiA
12,cspG,->,pspB
13,yedE,->,pspB
14,sucA,->,flgD
15,fixC,->,cchB
16,b1191,->,tnaA
17,fixC,->,tnaA
18,sucA,->,tnaA
19,fixC,->,ygbD
20,sucA,->,yhdM
21,sucA,->,atpG
22,sucA,->,gltA
23,sucA,->,sucD
24,b1191,->,ygcE
25,sucA,->,ygcE
26,ygcE,->,asnA
27,sucA,->,atpD
28,ygcE,->,atpD
29,eutG,->,ibpB
30,yceP,->,ibpB
31,cspA,->,hupB
32,yfiA,->,hupB
33,eutG,->,yfaD
34,sucA,->,yfaD
35,yceP,->,yfaD
36,cspG,->,pspA
37,pspB,->,pspA
38,yedE,->,pspA
39,asnA,->,lacA
40,cspG,->,lacA
41,atpD,->,yheI
42,yedE,->,yheI
43,asnA,->,icdA
44,ygcE,->,icdA
45,pspA,->,nmpC
46,yheI,->,folK
47,asnA,->,lacY
48,cspG,->,lacY
49,eutG,->,lacY
50,lacA,->,lacY
51,icdA,->,aceB
52,fixC,->,ycgX
53,yheI,->,ycgX
54,yheI,->,b1963
55,yheI,->,dnaK
56,ycgX,->,dnaG
57,yheI,->,dnaG
58,lacY,->,nuoM
59,asnA,->,lacZ
60,lacA,->,lacZ
61,lacY,->,lacZ
62,cspG,->,yaeM
63,lacA,->,yaeM
64,lacZ,->,yaeM
65,lacA,->,b1583
66,lacZ,->,b1583
67,yceP,->,b1583
68,dnaK,->,mopB
69,lacZ,->,mopB
70,mopB,->,ftsJ
