ID,Variable 1,Dependency,Variable 2
1,AbuseNeglectAsChild,->,ASPD
2,AngerPT,->,ASPD
3,Intelligence,->,AbilityToCope
4,Violence,->,Age
5,Impulsivity,->,AggressionDL
6,ViolentThoughts,->,AggressionDL
7,HazardousDrinkingAfterRelease,->,AlcoholDependence
8,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
9,RefuseFailToAttendTherapy,->,AlcoholTreatmentGivenRFAT
10,AngerManagement,->,AngerManagementGivenRFAT
11,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
12,Anger,->,AngerPT
13,AngerManagementGivenRFAT,->,AngerPT
14,ResponsivenessToTreatment,->,AngerPT
15,SymptomsOfMentalIllness,->,Anxiety
16,Anxiety,->,AnxietyPT
17,PsychiatricTreatmentGivenRFAT,->,AnxietyPT
18,ResponsivenessToTreatment,->,AnxietyPT
19,CannabisDependence,->,AnyDrugDependence
20,CocaineDependence,->,AnyDrugDependence
21,EcstasyDependence,->,AnyDrugDependence
22,CriminalAttitude,->,AttitudeDL
23,NegativeAttitude,->,AttitudeDL
24,AbuseNeglectAsChild,->,BPD
25,AngerPT,->,BPD
26,CannabisBeforePrisonSentence,->,CannabisAfterRelease
27,CannabisDuringPrisonSentence,->,CannabisAfterRelease
28,CannabisDuringPrisonSentence,->,CannabisDependence
29,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
30,CannabisAfterRelease,->,CannabisPT
31,DrugTreatmentGivenRFAT,->,CannabisPT
32,ResponseToTreatGivenDrugDep,->,CannabisPT
33,CocaineBeforePrisonSentence,->,CocaineAfterRelease
34,CocaineDuringPrisonSentence,->,CocaineAfterRelease
35,CocaineDuringPrisonSentence,->,CocaineDependence
36,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
37,CocaineAfterRelease,->,CocainePT
38,DrugTreatmentGivenRFAT,->,CocainePT
39,ResponseToTreatGivenDrugDep,->,CocainePT
40,ComplianceWithSupervision,->,CriminalAttitude
41,CriminalNetwork,->,CriminalAttitude
42,GangMember,->,CriminalAttitude
43,CriminalFamilyBackground,->,CriminalNetwork
44,LivingCircumstances,->,CriminalNetwork
45,SocialWithdraw,->,CriminalNetwork
46,SymptomsOfMentalIllness,->,Depression
47,Depression,->,DepressionPT
48,PsychiatricTreatmentGivenRFAT,->,DepressionPT
49,ResponsivenessToTreatment,->,DepressionPT
50,EmploymentOrTraining,->,DomesticStability
51,LivingCircumstances,->,DomesticStability
52,SocialWithdraw,->,DomesticStability
53,DrugTreatment,->,DrugTreatmentGivenRFAT
