ID,Variable 1,Dependency,Variable 2
1,N0_7muVerMo,->,CombVerMo
2,SubjVertMo,->,CombVerMo
3,QGVertMotion,->,CombVerMo
4,CombVerMo,->,AreaMeso_ALS
5,SatContMoist,->,CombMoisture
6,RaoContMoist,->,CombMoisture
7,AreaMeso_ALS,->,AreaMoDryAir
8,CombMoisture,->,AreaMoDryAir
9,VISCloudCov,->,CombClouds
10,IRCloudCover,->,CombClouds
11,AreaMoDryAir,->,CldShadeOth
12,AreaMeso_ALS,->,CldShadeOth
13,CombClouds,->,CldShadeOth
14,CldShadeOth,->,InsInMt
15,AMInstabMt,->,InsInMt
16,InsInMt,->,OutflowFrMt
17,WndHodograph,->,OutflowFrMt
18,OutflowFrMt,->,Boundaries
19,WndHodograph,->,Boundaries
20,MorningBound,->,Boundaries
21,InsInMt,->,CldShadeConv
22,WndHodograph,->,CldShadeConv
23,Boundaries,->,CompPlFcst
24,CldShadeConv,->,CompPlFcst
25,AreaMeso_ALS,->,CompPlFcst
26,CldShadeOth,->,CompPlFcst
27,CompPlFcst,->,CapChange
28,LoLevMoistAd,->,InsChange
29,CompPlFcst,->,InsChange
30,InsInMt,->,MountainFcst
31,Date,->,Scenario
32,Scenario,->,ScenRelAMCIN
33,ScenRelAMCIN,->,AMCINInScen
34,MorningCIN,->,AMCINInScen
35,AMCINInScen,->,CapInScen
36,CapChange,->,CapInScen
37,Scenario,->,ScenRelAMIns
38,ScenRelAMIns,->,AMInsWliScen
39,LIfr12ZDENSd,->,AMInsWliScen
40,AMDewptCalPl,->,AMInsWliScen
41,AMInsWliScen,->,InsSclInScen
42,InsChange,->,InsSclInScen
43,Scenario,->,ScenRel3_4
44,LatestCIN,->,CurPropConv
45,LLIW,->,CurPropConv
46,Scenario,->,ScnRelPlFcst
47,CurPropConv,->,PlainsFcst
48,InsSclInScen,->,PlainsFcst
49,CapInScen,->,PlainsFcst
50,ScnRelPlFcst,->,PlainsFcst
51,ScenRel3_4,->,N34StarFcst
52,PlainsFcst,->,N34StarFcst
53,MountainFcst,->,R5Fcst
54,N34StarFcst,->,R5Fcst
55,Scenario,->,Dewpoints
56,Scenario,->,LowLLapse
57,Scenario,->,MeanRH
58,Scenario,->,MidLLapse
59,Scenario,->,MvmtFeatures
60,Scenario,->,RHRatio
61,Scenario,->,SfcWndShfDis
62,Scenario,->,SynForcng
63,Scenario,->,TempDis
64,Scenario,->,WindAloft
65,Scenario,->,WindFieldMt
66,Scenario,->,WindFieldPln
