ID,Variable 1,Dependency,Variable 2
1,hepatotoxic,->,THepatitis
2,alcoholism,->,THepatitis
3,gallstones,->,choledocholithotomy
4,hospital,->,injections
5,surgery,->,injections
6,choledocholithotomy,->,injections
7,hospital,->,transfusion
8,surgery,->,transfusion
9,choledocholithotomy,->,transfusion
10,transfusion,->,ChHepatitis
11,vh_amn,->,ChHepatitis
12,injections,->,ChHepatitis
13,sex,->,PBC
14,age,->,PBC
15,ChHepatitis,->,fibrosis
16,diabetes,->,obesity
17,obesity,->,Steatosis
18,alcoholism,->,Steatosis
19,fibrosis,->,Cirrhosis
20,Steatosis,->,Cirrhosis
21,age,->,Hyperbilirubinemia
22,sex,->,Hyperbilirubinemia
23,Steatosis,->,triglycerides
24,hepatotoxic,->,RHepatitis
25,ChHepatitis,->,fatigue
26,THepatitis,->,fatigue
27,RHepatitis,->,fatigue
28,Hyperbilirubinemia,->,bilirubin
29,PBC,->,bilirubin
30,Cirrhosis,->,bilirubin
31,gallstones,->,bilirubin
32,ChHepatitis,->,bilirubin
33,bilirubin,->,itching
34,gallstones,->,upper_pain
35,gallstones,->,fat
36,Steatosis,->,pain_ruq
37,Hyperbilirubinemia,->,pain_ruq
38,gallstones,->,pressure_ruq
39,PBC,->,pressure_ruq
40,ChHepatitis,->,pressure_ruq
41,RHepatitis,->,phosphatase
42,THepatitis,->,phosphatase
43,Cirrhosis,->,phosphatase
44,ChHepatitis,->,phosphatase
45,bilirubin,->,skin
46,PBC,->,ama
47,PBC,->,le_cells
48,PBC,->,joints
49,PBC,->,pain
50,joints,->,pain
51,Cirrhosis,->,proteins
52,Cirrhosis,->,edema
53,Cirrhosis,->,platelet
54,PBC,->,platelet
55,ChHepatitis,->,inr
56,Cirrhosis,->,inr
57,THepatitis,->,inr
58,Hyperbilirubinemia,->,inr
59,platelet,->,bleeding
60,inr,->,bleeding
61,gallstones,->,flatulence
62,Cirrhosis,->,alcohol
63,Cirrhosis,->,encephalopathy
64,PBC,->,encephalopathy
65,encephalopathy,->,urea
66,proteins,->,ascites
67,RHepatitis,->,hepatomegaly
68,THepatitis,->,hepatomegaly
69,Steatosis,->,hepatomegaly
70,Hyperbilirubinemia,->,hepatomegaly
71,hepatomegaly,->,hepatalgia
72,encephalopathy,->,density
73,PBC,->,ESR
74,ChHepatitis,->,ESR
75,Steatosis,->,ESR
76,Hyperbilirubinemia,->,ESR
77,ChHepatitis,->,alt
78,RHepatitis,->,alt
79,THepatitis,->,alt
80,Steatosis,->,alt
81,Cirrhosis,->,alt
82,ChHepatitis,->,ast
83,RHepatitis,->,ast
84,THepatitis,->,ast
85,Steatosis,->,ast
86,Cirrhosis,->,ast
87,gallstones,->,amylase
88,PBC,->,ggtp
89,THepatitis,->,ggtp
90,RHepatitis,->,ggtp
91,Steatosis,->,ggtp
92,ChHepatitis,->,ggtp
93,Hyperbilirubinemia,->,ggtp
94,PBC,->,cholesterol
95,Steatosis,->,cholesterol
96,ChHepatitis,->,cholesterol
97,vh_amn,->,hbsag
98,ChHepatitis,->,hbsag
99,vh_amn,->,hbsag_anti
100,ChHepatitis,->,hbsag_anti
101,hbsag,->,hbsag_anti
102,RHepatitis,->,anorexia
103,THepatitis,->,anorexia
104,RHepatitis,->,nausea
105,THepatitis,->,nausea
106,Cirrhosis,->,spleen
107,RHepatitis,->,spleen
108,THepatitis,->,spleen
109,encephalopathy,->,consciousness
110,Cirrhosis,->,spiders
111,bilirubin,->,jaundice
112,Cirrhosis,->,albumin
113,Cirrhosis,->,edge
114,Cirrhosis,->,irregular_liver
115,vh_amn,->,hbc_anti
116,ChHepatitis,->,hbc_anti
117,vh_amn,->,hcv_anti
118,ChHepatitis,->,hcv_anti
119,Cirrhosis,->,palms
120,vh_amn,->,hbeag
121,ChHepatitis,->,hbeag
122,Cirrhosis,->,carcinoma
123,PBC,->,carcinoma
