ID,Variable 1,Dependency,Variable 2
1,SocioEcon,->,GoodStudent
2,Age,->,GoodStudent
3,Age,->,SocioEcon
4,Age,->,RiskAversion
5,SocioEcon,->,RiskAversion
6,SocioEcon,->,VehicleYear
7,RiskAversion,->,VehicleYear
8,Accident,->,ThisCarDam
9,RuggedAuto,->,ThisCarDam
10,MakeModel,->,RuggedAuto
11,VehicleYear,->,RuggedAuto
12,Antilock,->,Accident
13,Mileage,->,Accident
14,DrivQuality,->,Accident
15,SocioEcon,->,MakeModel
16,RiskAversion,->,MakeModel
17,DrivingSkill,->,DrivQuality
18,RiskAversion,->,DrivQuality
19,MakeModel,->,Antilock
20,VehicleYear,->,Antilock
21,Age,->,DrivingSkill
22,SeniorTrain,->,DrivingSkill
23,Age,->,SeniorTrain
24,RiskAversion,->,SeniorTrain
25,ThisCarDam,->,ThisCarCost
26,CarValue,->,ThisCarCost
27,Theft,->,ThisCarCost
28,AntiTheft,->,Theft
29,HomeBase,->,Theft
30,CarValue,->,Theft
31,MakeModel,->,CarValue
32,VehicleYear,->,CarValue
33,Mileage,->,CarValue
34,RiskAversion,->,HomeBase
35,SocioEcon,->,HomeBase
36,RiskAversion,->,AntiTheft
37,SocioEcon,->,AntiTheft
38,OtherCarCost,->,PropCost
39,ThisCarCost,->,PropCost
40,Accident,->,OtherCarCost
41,RuggedAuto,->,OtherCarCost
42,SocioEcon,->,OtherCar
43,Accident,->,MedCost
44,Age,->,MedCost
45,Cushioning,->,MedCost
46,RuggedAuto,->,Cushioning
47,Airbag,->,Cushioning
48,MakeModel,->,Airbag
49,VehicleYear,->,Airbag
50,Accident,->,ILiCost
51,DrivingSkill,->,DrivHist
52,RiskAversion,->,DrivHist
