ID,Variable 1,Dependency,Variable 2
1,G3823,->,G457
2,G4382,->,G3219
3,G4156,->,G4145
4,G1533,->,G4432
5,G1378,->,G1311
6,G2815,->,G2670
7,G3925,->,G5794
8,G4573,->,G4529
9,G4145,->,G4109
10,G4156,->,G4109
11,G1311,->,SUB
12,G2949,->,SUB
13,G4529,->,SUB
14,G4553,->,SUB
15,G4573,->,SUB
16,G1440,->,GL
17,G1778,->,GL
18,G2764,->,GL
19,G3872,->,GL
20,G3927,->,GL
21,G3992,->,GL
22,G4529,->,GL
23,G4668,->,GL
24,G5794,->,GL
25,G4145,->,G3212
26,G5794,->,G6003
27,G5997,->,G6003
28,G3212,->,G3209
29,G3219,->,G3209
30,G5997,->,G6010
31,G6003,->,G6010
32,G2179,->,BROWN
33,G2815,->,BROWN
34,G3049,->,BROWN
35,G5167,->,BROWN
36,G6003,->,BROWN
37,G6010,->,BROWN
38,G6123,->,BROWN
39,G2639,->,G317
40,G6010,->,G317
41,G3209,->,G3486
42,G3209,->,G3105
43,G3209,->,G3222
44,G3212,->,G3222
45,G3219,->,G3222
46,G3105,->,G3106
47,G3105,->,G3102
48,G3486,->,G3862
49,G3823,->,G3862
50,G3964,->,G3862
51,G3105,->,G3098
52,G1266,->,AMY
53,G3098,->,AMY
54,G3102,->,AMY
55,G3105,->,AMY
56,G3106,->,AMY
57,G317,->,AMY
58,G1378,->,FT
59,G1533,->,FT
60,G2639,->,FT
61,G3098,->,FT
62,G3136,->,FT
63,G3823,->,FT
64,G4145,->,FT
65,FT,->,HT
66,G1533,->,HT
67,G3486,->,HT
68,G4156,->,HT
69,G4382,->,HT
70,G678,->,HT
71,AMY,->,GTEMP
72,G3209,->,GTEMP
73,G3212,->,GTEMP
74,G3219,->,GTEMP
75,G3222,->,GTEMP
76,G2764,->,GW
77,G3927,->,GW
78,G4432,->,GW
79,G5794,->,GW
80,GL,->,GW
81,GTEMP,->,GW
82,FT,->,YLD
83,G1533,->,YLD
84,G1888,->,YLD
85,G1958,->,YLD
86,G2670,->,YLD
87,G3092,->,YLD
88,G4432,->,YLD
89,G4744,->,YLD
90,G5006,->,YLD
91,GW,->,YLD
92,HT,->,YLD
93,AMY,->,CHALK
94,FT,->,CHALK
95,G2089,->,CHALK
96,G2764,->,CHALK
97,G3862,->,CHALK
98,G3964,->,CHALK
99,G4109,->,CHALK
100,GL,->,CHALK
101,GTEMP,->,CHALK
102,GW,->,CHALK
