ID,Variable 1,Dependency,Variable 2
1,G418,->,G2835
2,G418,->,G1294
3,G1217,->,G257
4,G800,->,G383
5,G1750,->,G1373
6,G599,->,G1276
7,G1853,->,G311
8,G2953,->,G1896
9,G1276,->,G266
10,G1338,->,G266
11,G311,->,G43
12,G1217,->,G1800
13,G257,->,G1800
14,G2835,->,G1800
15,G2953,->,G1800
16,G257,->,G2208
17,G266,->,G1789
18,G1896,->,HT
19,G266,->,HT
20,G2835,->,HT
21,G2953,->,HT
22,G832,->,HT
23,G847,->,HT
24,G942,->,HT
25,G1217,->,MIL
26,G1338,->,MIL
27,G1945,->,MIL
28,G2208,->,MIL
29,G524,->,MIL
30,G1263,->,FT
31,G1276,->,FT
32,G1294,->,FT
33,G1800,->,FT
34,G2318,->,FT
35,G266,->,FT
36,G775,->,FT
37,G1033,->,FUS
38,G1853,->,FUS
39,G1896,->,FUS
40,G383,->,FUS
41,G832,->,FUS
42,HT,->,FUS
43,G1217,->,YR_GLASS
44,G1750,->,YR_GLASS
45,G311,->,YR_GLASS
46,G418,->,YR_GLASS
47,G795,->,YR_GLASS
48,G800,->,YR_GLASS
49,G866,->,YR_GLASS
50,MIL,->,YR_GLASS
51,FT,->,YLD
52,G2570,->,YLD
53,G260,->,YLD
54,G2920,->,YLD
55,G832,->,YLD
56,HT,->,YLD
57,YR_GLASS,->,YLD
58,FT,->,YR_FIELD
59,G1373,->,YR_FIELD
60,G200,->,YR_FIELD
61,G2208,->,YR_FIELD
62,G257,->,YR_FIELD
63,G261,->,YR_FIELD
64,G418,->,YR_FIELD
65,G599,->,YR_FIELD
66,YR_GLASS,->,YR_FIELD
