ID,Variable 1,Dependency,Variable 2
1,foto_1,->,dm_1
2,lai_1,->,foto_1
3,temp_1,->,foto_1
4,straaling_1,->,foto_1
5,lai_0,->,lai_1
6,meldug_1,->,lai_1
7,foto_2,->,dm_2
8,dm_1,->,dm_2
9,lai_2,->,foto_2
10,temp_2,->,foto_2
11,straaling_2,->,foto_2
12,lai_1,->,lai_2
13,meldug_2,->,lai_2
14,middel_1,->,meldug_2
15,mikro_1,->,meldug_2
16,meldug_1,->,meldug_2
17,foto_3,->,dm_3
18,dm_2,->,dm_3
19,lai_3,->,foto_3
20,temp_3,->,foto_3
21,straaling_3,->,foto_3
22,lai_2,->,lai_3
23,meldug_3,->,lai_3
24,middel_2,->,meldug_3
25,mikro_2,->,meldug_3
26,meldug_2,->,meldug_3
27,foto_4,->,dm_4
28,dm_3,->,dm_4
29,lai_4,->,foto_4
30,temp_4,->,foto_4
31,straaling_4,->,foto_4
32,lai_3,->,lai_4
33,meldug_4,->,lai_4
34,middel_3,->,meldug_4
35,mikro_3,->,meldug_4
36,meldug_3,->,meldug_4
37,lai_1,->,mikro_1
38,temp_1,->,mikro_1
39,nedboer_1,->,mikro_1
40,lai_2,->,mikro_2
41,temp_2,->,mikro_2
42,nedboer_2,->,mikro_2
43,lai_3,->,mikro_3
44,temp_3,->,mikro_3
45,nedboer_3,->,mikro_3
46,dm_4,->,udbytte
