ID,Variable 1,Dependency,Variable 2
1,borrowing,->,LTV
2,propertyPurchaseValue,->,LTV
3,rentalIncome,->,actualRentalIncome
4,rentalIncomeLoss,->,actualRentalIncome
5,capitalGrowth,->,capitalGains
6,propertyPurchaseValue,->,capitalGains
7,borrowing,->,interest
8,interestRate,->,interest
9,otherInterestFees,->,interest
10,interest,->,interestTaxRelief
11,interest,->,netProfit
12,interestTaxRelief,->,netProfit
13,rentalNetProfitBeforeInterest,->,netProfit
14,otherPropertyExpenses,->,otherPropertyExpensesT1
15,propertyExpensesGrowth,->,otherPropertyExpensesT1
16,actualRentalIncome,->,propertyExpenses
17,otherPropertyExpenses,->,propertyExpenses
18,propertyManagement,->,propertyExpenses
19,capitalGains,->,propertyValueT1
20,propertyPurchaseValue,->,propertyValueT1
21,actualRentalIncome,->,rentalGrossProfit
22,propertyExpenses,->,rentalGrossProfit
23,actualRentalIncome,->,rentalGrossYield
24,propertyPurchaseValue,->,rentalGrossYield
25,actualRentalIncome,->,rentalIncomeT1
26,rentalGrowth,->,rentalIncomeT1
27,incomeTax,->,rentalNetProfitBeforeInterest
28,rentalGrossProfit,->,rentalNetProfitBeforeInterest
29,propertyPurchaseValue,->,stampDutyTax
30,stampDutyTaxBand,->,stampDutyTax
31,propertyPurchaseValue,->,stampDutyTaxBand
