ID,Variable 1,Dependency,Variable 2
1,C_NI_12_00,->,C_NI_12_15
2,CKNI_12_00,->,CKNI_12_15
3,C_NI_12_00,->,CBODD_12_15
4,CKNI_12_00,->,CBODD_12_15
5,CBODD_12_00,->,CBODD_12_15
6,CNOD_12_00,->,CBODD_12_15
7,CBODN_12_00,->,CBODD_12_15
8,CKNI_12_00,->,CKND_12_15
9,CKND_12_00,->,CKND_12_15
10,CKNN_12_00,->,CKND_12_15
11,CBODD_12_00,->,CNOD_12_15
12,CNOD_12_00,->,CNOD_12_15
13,CNON_12_00,->,CNOD_12_15
14,CBODD_12_00,->,CBODN_12_15
15,CBODN_12_00,->,CBODN_12_15
16,CNON_12_00,->,CBODN_12_15
17,CKND_12_00,->,CKNN_12_15
18,CKNN_12_00,->,CKNN_12_15
19,CNOD_12_00,->,CNON_12_15
20,CBODN_12_00,->,CNON_12_15
21,CKNN_12_00,->,CNON_12_15
22,CNON_12_00,->,CNON_12_15
23,C_NI_12_15,->,C_NI_12_30
24,CKNI_12_15,->,CKNI_12_30
25,C_NI_12_15,->,CBODD_12_30
26,CKNI_12_15,->,CBODD_12_30
27,CBODD_12_15,->,CBODD_12_30
28,CNOD_12_15,->,CBODD_12_30
29,CBODN_12_15,->,CBODD_12_30
30,CKNI_12_15,->,CKND_12_30
31,CKND_12_15,->,CKND_12_30
32,CKNN_12_15,->,CKND_12_30
33,CBODD_12_15,->,CNOD_12_30
34,CNOD_12_15,->,CNOD_12_30
35,CNON_12_15,->,CNOD_12_30
36,CBODD_12_15,->,CBODN_12_30
37,CBODN_12_15,->,CBODN_12_30
38,CNON_12_15,->,CBODN_12_30
39,CKND_12_15,->,CKNN_12_30
40,CKNN_12_15,->,CKNN_12_30
41,CNOD_12_15,->,CNON_12_30
42,CBODN_12_15,->,CNON_12_30
43,CKNN_12_15,->,CNON_12_30
44,CNON_12_15,->,CNON_12_30
45,C_NI_12_30,->,C_NI_12_45
46,CKNI_12_30,->,CKNI_12_45
47,C_NI_12_30,->,CBODD_12_45
48,CKNI_12_30,->,CBODD_12_45
49,CBODD_12_30,->,CBODD_12_45
50,CNOD_12_30,->,CBODD_12_45
51,CBODN_12_30,->,CBODD_12_45
52,CKNI_12_30,->,CKND_12_45
53,CKND_12_30,->,CKND_12_45
54,CKNN_12_30,->,CKND_12_45
55,CBODD_12_30,->,CNOD_12_45
56,CNOD_12_30,->,CNOD_12_45
57,CNON_12_30,->,CNOD_12_45
58,CBODD_12_30,->,CBODN_12_45
59,CBODN_12_30,->,CBODN_12_45
60,CNON_12_30,->,CBODN_12_45
61,CKND_12_30,->,CKNN_12_45
62,CKNN_12_30,->,CKNN_12_45
63,CNOD_12_30,->,CNON_12_45
64,CBODN_12_30,->,CNON_12_45
65,CKNN_12_30,->,CNON_12_45
66,CNON_12_30,->,CNON_12_45
