ID,Variable 1,Dependency,Variable 2
1,AppOK,->,AppData
2,DataFile,->,AppData
3,AppData,->,EMFOK
4,DskLocal,->,EMFOK
5,PrtThread,->,EMFOK
6,AppData,->,GDIIN
7,PrtSpool,->,GDIIN
8,EMFOK,->,GDIIN
9,PrtDriver,->,GDIOUT
10,GDIIN,->,GDIOUT
11,DrvSet,->,GDIOUT
12,DrvOK,->,GDIOUT
13,GDIOUT,->,PrtDataOut
14,PrtSel,->,PrtDataOut
15,PrtPath,->,NetOK
16,NtwrkCnfg,->,NetOK
17,PTROFFLINE,->,NetOK
18,PrtCbl,->,LclOK
19,PrtPort,->,LclOK
20,CblPrtHrdwrOK,->,LclOK
21,AppData,->,DS_NTOK
22,PrtPath,->,DS_NTOK
23,PrtMpTPth,->,DS_NTOK
24,NtwrkCnfg,->,DS_NTOK
25,PTROFFLINE,->,DS_NTOK
26,AppData,->,DS_LCLOK
27,PrtCbl,->,DS_LCLOK
28,PrtPort,->,DS_LCLOK
29,CblPrtHrdwrOK,->,DS_LCLOK
30,NetPrint,->,PC2PRT
31,PrtDataOut,->,PC2PRT
32,NetOK,->,PC2PRT
33,LclOK,->,PC2PRT
34,DSApplctn,->,PC2PRT
35,DS_NTOK,->,PC2PRT
36,DS_LCLOK,->,PC2PRT
37,PrtOn,->,PrtData
38,PrtPaper,->,PrtData
39,PC2PRT,->,PrtData
40,PrtMem,->,PrtData
41,PrtTimeOut,->,PrtData
42,FllCrrptdBffr,->,PrtData
43,TnrSpply,->,PrtData
44,PrtData,->,Problem1
45,PrtSpool,->,AppDtGnTm
46,PrtSpool,->,PrntPrcssTm
47,PrtMem,->,DeskPrntSpd
48,AppDtGnTm,->,DeskPrntSpd
49,PrntPrcssTm,->,DeskPrntSpd
50,PrtMem,->,CmpltPgPrntd
51,PgOrnttnOK,->,CmpltPgPrntd
52,PrntngArOK,->,CmpltPgPrntd
53,PrtMem,->,NnPSGrphc
54,GrphcsRltdDrvrSttngs,->,NnPSGrphc
55,EPSGrphc,->,NnPSGrphc
56,PrtMem,->,PSGRAPHIC
57,GrphcsRltdDrvrSttngs,->,PSGRAPHIC
58,EPSGrphc,->,PSGRAPHIC
59,NnPSGrphc,->,Problem4
60,PrtPScript,->,Problem4
61,PSGRAPHIC,->,Problem4
62,PrtMem,->,TTOK
63,FntInstlltn,->,TTOK
64,PrntrAccptsTrtyp,->,TTOK
65,PrtMem,->,NnTTOK
66,ScrnFntNtPrntrFnt,->,NnTTOK
67,FntInstlltn,->,NnTTOK
68,TrTypFnts,->,Problem5
69,TTOK,->,Problem5
70,NnTTOK,->,Problem5
71,AppData,->,LclGrbld
72,PrtDriver,->,LclGrbld
73,PrtMem,->,LclGrbld
74,CblPrtHrdwrOK,->,LclGrbld
75,AppData,->,NtGrbld
76,PrtDriver,->,NtGrbld
77,PrtMem,->,NtGrbld
78,NtwrkCnfg,->,NtGrbld
79,NetPrint,->,GrbldOtpt
80,LclGrbld,->,GrbldOtpt
81,NtGrbld,->,GrbldOtpt
82,AppDtGnTm,->,HrglssDrtnAftrPrnt
83,CblPrtHrdwrOK,->,REPEAT
84,NtwrkCnfg,->,REPEAT
85,PrtPScript,->,AvlblVrtlMmry
86,PrtPScript,->,PSERRMEM
87,AvlblVrtlMmry,->,PSERRMEM
88,PrtPScript,->,TstpsTxt
89,AvlblVrtlMmry,->,TstpsTxt
90,GrbldOtpt,->,GrbldPS
91,AvlblVrtlMmry,->,GrbldPS
92,CmpltPgPrntd,->,IncmpltPS
93,AvlblVrtlMmry,->,IncmpltPS
94,PrtDataOut,->,PrtFile
95,NtwrkCnfg,->,PrtIcon
96,PTROFFLINE,->,PrtIcon
97,GrbldOtpt,->,Problem6
98,PrtPScript,->,Problem6
99,GrbldPS,->,Problem6
100,CmpltPgPrntd,->,Problem3
101,PrtPScript,->,Problem3
102,IncmpltPS,->,Problem3
103,DeskPrntSpd,->,NtSpd
104,NtwrkCnfg,->,NtSpd
105,PrtQueue,->,NtSpd
106,NetPrint,->,Problem2
107,DeskPrntSpd,->,Problem2
108,NtSpd,->,Problem2
109,PrtPaper,->,PrtStatPaper
110,TnrSpply,->,PrtStatToner
111,PrtMem,->,PrtStatMem
112,PrtOn,->,PrtStatOff
