ID,Variable 1,Dependency,Variable 2
1,Event_Normal_ChancePK_AT,-,Event_Normal_ChancePK_Goal_AT
2,Event_CA_ChanceIFK_Goal_HT,-,Event_CA_ChanceIFK_HT
3,Corner_headers_offence_AT,->,Head_offensives_AT
4,Event_CA_ChanceRight_AT,-,Event_CA_ChanceRight_Goal_AT
5,Event_PSE_QuickPass_AT,-,Event_PSE_QuickPass_Goal_AT
6,Event_TSE_TiredDef_AT,-,Event_TSE_TiredDef_Goal_AT
7,Event_TSE_AT,-,Event_TSE_Goal_AT
8,Event_PSE_UnpredSpecial_Goal_HT,->,Event_PSE_UnpredSpecial_HT
9,Event_Normal_ChanceDFK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
10,Event_PSE_WingAnyone_AT,->,Event_PSE_AT
11,RatingMidDef_HT,-,RatingRightDef_HT
12,Head_opposing_players_HT,->,Head_offensives_HT
13,Event_PSE_QuickRush_HT,->,Quick_offensives_HT
14,Event_CA_ChanceMid_AT,-,Event_CA_ChanceMid_Goal_AT
15,Event_Normal_ChancePK_Goal_HT,-,Event_Normal_ChancePK_HT
16,Event_Normal_ChanceDFK_AT,-,Event_Normal_ChanceDFK_Goal_AT
17,Event_CA_HT,->,Event_CA_ChanceMid_HT
18,Event_SEZ_PNF_AT,-,PNFs_AT
19,Event_TSE_CornerAnyone_HT,->,Event_TSE_HT
20,Event_SEZ_PDIM_HT,-,PDIMs_HT
21,Unpredictable_mistake_players_HT,-,Unpredictable_offensives_HT
22,PSE_unpred_chances_missed_HT,->,Event_PSE_UnpredSpecial_HT
23,Event_TSE_Goal_HT,->,Event_TSE_HT
24,Event_PSE_QuickPass_HT,->,Quick_offensives_HT
25,Event_PSE_UnpredSpecial_Goal_AT,->,Event_PSE_UnpredSpecial_AT
26,Event_TSE_CornerAnyone_Goal_HT,-,Event_TSE_CornerAnyone_HT
27,Event_Normal_ChanceIFK_AT,-,Event_Normal_ChanceIFK_Goal_AT
28,Event_PSE_Goal_AT,->,Event_PSE_AT
29,Event_PSE_UnpredMistake_OwnGoal_HT,->,Event_PSE_OwnGoal_HT
30,Event_TSE_AT,->,Event_TSE_CornerAnyone_AT
31,PSE_unpred_chances_missed_HT,->,Event_PSE_UnpredScoreOwn_HT
32,CDs_HT,-,CDs_and_WBs_HT
33,Event_TSE_CornerHead_AT,->,Event_TSE_CornerAnyone_AT
34,Event_CA_ChanceIFK_AT,-,Event_CA_ChanceIFK_Goal_AT
35,PNFs_HT,->,Event_SEZ_PNF_HT
36,Head_opposing_players_AT,->,Head_offensives_AT
37,Event_CA_ChanceLeft_HT,->,Event_CA_ChanceMid_HT
38,Event_CA_Goal_HT,-,Event_CA_HT
39,Event_Normal_ChanceLSNonTactic_AT,-,Event_Normal_ChanceLSNonTactic_Goal_AT
40,Unpredictable_special_action_players_AT,->,Unpredictable_offensives_AT
41,Event_PSE_WingAnyone_AT,-,Event_PSE_WingAnyone_Goal_AT
42,Unpredictable_offensives_HT,-,Unpredictable_special_action_players_HT
43,Event_Normal_ChanceLS_Goal_HT,-,Event_Normal_ChanceLS_HT
44,RatingRightAtt_HT,->,RatingMidfield_HT
45,Event_CA_ChanceLeft_AT,-,Event_CA_ChanceLeft_Goal_AT
46,Event_SEZ_PDIM_AT,-,PDIMs_AT
47,Event_PSE_UnpredOwnGoal_OwnGoal_HT,->,Event_PSE_OwnGoal_HT
48,TacticSkill_HT,-,TacticType_HT
49,Unpredictable_mistake_players_AT,->,Unpredictable_offensives_AT
50,Event_Normal_Goal_AT,-,Goals_AT
51,Event_Normal_ChanceIFK_Goal_HT,-,Event_Normal_ChanceIFK_HT
52,CA_tactic_AT,-,TacticType_AT
53,Corner_headers_offence_HT,->,Head_offensives_HT
54,Event_CA_ChanceDFK_AT,-,Event_CA_ChanceDFK_Goal_AT
55,CA_tactic_HT,->,RatingMidfield_HT
56,Unpredictable_defenders_AT,-,Unpredictable_mistake_players_AT
57,Event_Normal_ChanceLSNonTactic_Goal_HT,-,Event_Normal_ChanceLSNonTactic_HT
58,Event_Normal_ChancePK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
59,Unpredictable_mistake_players_HT,-,Unpredictable_special_action_players_HT
60,Event_TSE_TiredDef_Goal_HT,-,Event_TSE_TiredDef_HT
61,Event_SEZ_PNF_Goal_HT,->,Event_SEZ_PNF_HT
62,PSE_unpred_chances_missed_AT,->,Event_PSE_UnpredSpecial_AT
63,Event_PSE_TechHead_HT,-,Technical_offensives_HT
64,Event_PSE_UnpredScoreOwn_Goal_HT,->,Event_PSE_UnpredScoreOwn_HT
65,Event_PSE_QuickStop_AT,-,Quick_defenders_HT
66,Event_PSE_Goal_HT,-,Event_PSE_HT
67,RatingRightDef_HT,->,RatingMidfield_HT
68,Event_CA_ChanceRight_Goal_HT,-,Event_CA_ChanceRight_HT
69,Event_Normal_Goal_HT,-,Goals_HT
70,Event_TSE_CornerHead_HT,->,Event_TSE_HT
71,Event_Normal_ChanceMid_HT,-,Event_Normal_HT
