ID,Variable 1,Dependency,Variable 2
1,Event_CA_ChanceMid_HT,->,Event_CA_ChanceMid_Goal_HT
2,CDs_and_WBs_AT,->,PNFs_AT
3,Event_TSE_Corner_Goal_HT,->,Event_TSE_CornerHead_Goal_HT
4,Event_TSE_InexpDef_AT,->,Event_TSE_Goal_AT
5,Event_Normal_ChanceDFK_HT,->,Event_Normal_ChanceIFK_HT
6,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_ChanceRight_Goal_AT
7,Event_Normal_ChanceRight_Goal_HT,->,Event_Normal_ChanceRight_HT
8,RatingMidDef_AT,->,CDs_AT
9,Event_PSE_AT,->,Event_PSE_Goal_AT
10,Quick_offensives_HT,->,Event_PSE_Quick_Goal_HT
11,Event_TSE_InexpDef_AT,->,Event_TSE_InexpDef_Goal_AT
12,Event_PSE_Goal_HT,->,Event_TSE_TiredDef_Goal_HT
13,Normal_chances_missed_HT,->,Event_Normal_ChanceLeft_HT
14,CDs_and_WBs_AT,->,TacticType_AT
15,Event_TSE_CornerAnyone_HT,->,Event_TSE_CornerHead_HT
16,Event_PSE_Unpred_Goals_HT,->,Event_PSE_Quick_Goal_HT
17,RatingRightDef_AT,->,RatingMidDef_AT
18,Event_Normal_AT,->,Normal_chances_missed_AT
19,Head_opposing_players_AT,->,Tech_defenders_AT
20,Event_CA_ChanceDFK_AT,->,Event_CA_ChanceRight_AT
21,Event_PSE_AT,->,Event_PSE_UnpredLongPass_AT
22,Event_CA_HT,->,Event_Normal_AT
23,Event_PSE_Unpred_Goals_AT,->,Event_PSE_Quick_Goal_AT
24,Event_PSE_Goal_AT,->,Event_PSE_UnpredMistake_AT
25,Event_PSE_QuickStop_HT,->,Event_PSE_QuickRush_HT
26,Event_Normal_ChanceMid_HT,->,Event_Normal_ChanceDFK_HT
27,Event_PSE_QuickRush_AT,->,Event_PSE_UnpredMistake_AT
28,Event_Normal_ChanceLS_all_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
29,TacticType_HT,->,Wingers_HT
30,Forwards_AT,->,RatingISPAtt_AT
31,Unpredictable_special_action_players_HT,->,Event_PSE_UnpredSpecial_HT
32,Event_CA_ChanceIFK_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
33,Event_CA_ChanceMid_AT,->,Event_CA_ChanceLeft_AT
34,Event_CA_ChanceIFK_HT,->,Event_CA_ChanceLeft_HT
35,CDs_and_WBs_HT,->,Tech_defenders_HT
36,Possession_HT,->,RatingMidfield_HT
37,CA_tactic_AT,->,RatingMidfield_HT
38,CDs_HT,->,Wingers_HT
39,Unpredictable_offensives_HT,->,Unpredictable_own_goal_players_HT
40,Event_CA_ChanceDFK_Goal_AT,->,Event_CA_ChanceISP_Goal_AT
41,Event_PSE_Unpred_Goals_HT,->,Event_PSE_Wing_Goal_HT
42,Event_PSE_HT,->,Event_TSE_AT
43,CDs_and_WBs_AT,->,Event_Normal_ChanceLSNonTactic_AT
44,Event_Normal_ChanceLSNonTactic_Goal_AT,->,Event_Normal_ChanceLS_all_Goal_AT
45,RatingISPAtt_HT,->,Score_ISP_HT
46,RatingLeftAtt_HT,->,Score_left_HT
47,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_UnpredOwnGoal_OwnGoal_AT
48,Unpredictable_offensives_AT,->,Event_PSE_UnpredScoreOwn_HT
49,Creatively_tactic_HT,->,Event_TSE_AT
50,Longshots_tactic_AT,->,Event_CA_ChanceDFK_AT
51,Goals_HT,->,Event_Normal_Goal_HT
52,Event_CA_Goal_AT,->,Event_CA_ChanceIFK_Goal_AT
53,Unpredictable_own_goal_players_AT,->,Unpredictable_mistake_players_AT
54,Event_PSE_WingHead_Goal_AT,->,Event_PSE_WingAnyone_Goal_AT
55,Event_PSE_AT,->,Event_PSE_UnpredMistake_AT
56,Event_CA_ChanceMid_HT,->,Event_CA_ChanceLeft_HT
57,Event_Normal_Goal_HT,->,Event_Normal_ChanceLS_HT
58,Longshots_tactic_AT,->,RatingISPDef_HT
59,Event_CA_HT,->,Event_CA_ChanceLeft_HT
60,TacticType_AT,->,Creatively_tactic_AT
61,Event_PSE_Wing_Goal_AT,->,Event_PSE_WingHead_Goal_AT
62,Event_TSE_HT,->,Event_TSE_CornerHead_HT
63,RatingLeftDef_AT,->,CDs_and_WBs_AT
64,Event_PSE_Goal_HT,->,Event_PSE_QuickPass_HT
65,Event_PSE_HT,->,Event_PSE_AT
66,Unpredictable_defenders_AT,->,Unpredictable_special_action_players_AT
67,Creatively_tactic_HT,->,Event_PSE_AT
68,Unpredictable_defenders_HT,->,Unpredictable_players_HT
69,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_ChanceMid_Goal_AT
70,Head_opposing_players_HT,->,Event_PSE_TechHead_AT
71,Event_Normal_ChancePK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
72,Unpredictable_special_action_players_HT,->,Technical_offensives_HT
73,Unpredictable_players_HT,->,Corner_headers_offence_HT
74,PSE_spec_player_count_AT,->,Corner_headers_defence_AT
75,RatingLeftAtt_AT,->,Score_left_AT
76,Event_CA_Goal_HT,->,Event_Normal_Goal_HT
77,Event_CA_ChanceRight_AT,->,Event_CA_ChanceLeft_Goal_AT
78,CDs_AT,->,PDIMs_AT
79,Event_SEZ_PNF_HT,->,Event_SEZ_PNF_Goal_HT
80,TacticType_AT,->,Event_CA_AT
81,Event_TSE_CornerHead_Goal_HT,->,Event_TSE_CornerAnyone_Goal_HT
82,TacticType_AT,->,Pressing_tactic
83,Unpredictable_offensives_AT,->,Unpredictable_players_AT
84,PDIMs_AT,->,Unpredictable_defenders_AT
85,PSE_spec_player_count_AT,->,Event_TSE_CornerAnyone_AT
86,RatingMidDef_HT,->,RatingISPDef_HT
87,Event_PSE_UnpredLongPass_AT,->,Event_PSE_UnpredSpecial_AT
88,Event_Normal_ChanceISP_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
89,RatingRightDef_AT,->,CDs_and_WBs_AT
90,Event_Normal_AT,->,Event_Normal_ChanceRight_AT
91,Head_opposing_players_HT,->,Tech_defenders_HT
92,Forwards_HT,->,Unpredictable_own_goal_players_HT
93,Event_Normal_Goal_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
94,Event_Normal_AT,->,Event_Normal_HT
95,Event_TSE_Goal_AT,->,Event_TSE_ExperienceFwd_Goal_AT
96,Event_CA_Goal_AT,->,Event_CA_ChanceDFK_Goal_AT
97,Event_CA_AT,->,Event_CA_ChanceDFK_Goal_AT
98,Longshots_tactic_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
99,Event_Normal_Goal_AT,->,Event_Normal_ChanceLeft_AT
100,Event_PSE_UnpredMistake_OwnGoal_HT,->,Event_PSE_UnpredMistake_HT
101,TacticType_HT,->,RatingMidAtt_HT
102,Event_TSE_CornerAnyone_AT,->,Event_TSE_CornerHead_Goal_AT
103,Quick_defenders_AT,->,Event_PSE_QuickStop_HT
104,CDs_and_WBs_AT,->,Goals_AT
105,PSE_player_count_HT_AT,->,PSE_spec_player_count_AT
106,Event_TSE_HT,->,Event_TSE_CornerAnyone_HT
107,PNFs_HT,->,Event_SEZ_PNF_HT
108,Event_CA_ChanceMid_AT,->,Event_CA_ChanceRight_Goal_AT
109,Unpredictable_defenders_AT,->,Event_PSE_UnpredSpecial_AT
110,Event_CA_ChanceMid_HT,->,Event_CA_ChanceIFK_HT
111,Event_Normal_ChanceMid_Goal_AT,->,Event_Normal_ChanceLeft_Goal_AT
112,RatingISPDef_AT,->,Event_Normal_ChanceLSNonTactic_Goal_AT
113,RatingRightDef_HT,->,Score_left_AT
114,CDs_and_WBs_AT,->,Forwards_AT
115,PSE_spec_player_count_AT,->,Quick_defenders_AT
116,CDs_and_WBs_HT,->,Wingers_HT
117,Event_CA_HT,->,Event_CA_ChanceDFK_Goal_HT
118,Event_Normal_HT,->,Goals_HT
119,Event_CA_ChanceDFK_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
120,Creatively_tactic_AT,->,Event_PSE_HT
121,Event_CA_ChanceLMR_Goal_HT,->,Event_CA_ChanceRight_Goal_HT
122,Longshots_tactic_AT,->,Event_TSE_Goal_AT
123,RatingRightAtt_AT,->,Score_right_AT
124,Event_PSE_Quick_Goal_AT,->,Event_PSE_QuickRush_Goal_AT
125,Event_SE_Goal_HT,->,Event_CA_Goal_HT
126,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_ChanceLRM_Goal_HT
127,Event_TSE_HT,->,Event_TSE_ExperienceFwd_Goal_HT
128,Event_TSE_ExperienceFwd_AT,->,Event_TSE_Goal_AT
129,Event_TSE_AT,->,Event_TSE_InexpDef_AT
130,Event_CA_ChanceIFK_AT,->,Event_CA_ChanceRight_AT
131,Event_CA_HT,->,Event_SEZ_TechCA_HT
132,Event_PSE_HT,->,Event_SE_Goal_HT
133,Event_TSE_Corner_Goal_HT,->,Event_TSE_CornerAnyone_Goal_HT
134,Longshots_tactic_AT,->,Event_Normal_ChanceLS_AT
135,CA_tactic_AT,->,Unpredictable_own_goal_players_AT
136,Goals_HT,->,HDA
137,Event_CA_ChanceIFK_HT,->,Event_CA_ChanceRight_HT
138,Event_PSE_UnpredSpecial_Goal_AT,->,Event_PSE_Unpred_Goals_AT
139,Event_Normal_ChanceMid_HT,->,Event_Normal_ChanceIFK_HT
140,TacticType_AT,->,PNFs_AT
141,Event_PSE_QuickStop_AT,->,Event_PSE_QuickPass_AT
142,Unpredictable_defenders_AT,->,Event_PSE_UnpredLongPass_AT
143,CA_tactic_HT,->,Event_Normal_ChancePK_AT
144,CDs_and_WBs_HT,->,RatingMidfield_HT
145,Event_TSE_TiredDef_HT,->,Event_TSE_TiredDef_Goal_HT
146,Event_SE_Goal_HT,->,Event_Normal_Goal_HT
147,RatingRightDef_AT,->,RatingLeftDef_AT
