ID,Variable 1,Dependency,Variable 2
1,CDs_HT,->,CDs_and_WBs_HT
2,Event_CA_ChanceIFK_Goal_HT,->,Event_CA_ChanceISP_Goal_HT
3,Event_Normal_ChanceDFK_HT,->,Event_Normal_ChanceDFK_Goal_HT
4,Event_Normal_Goal_HT,->,Event_Normal_ChanceLRM_Goal_HT
5,Event_TSE_CornerHead_Goal_HT,->,Event_TSE_Goal_HT
6,Event_SEZ_PNF_AT,->,Event_SEZ_PNF_Goal_AT
7,Event_CA_ChanceIFK_HT,->,Event_CA_ChanceIFK_Goal_HT
8,Event_PSE_UnpredMistake_OwnGoal_AT,->,Event_PSE_UnpredMistake_AT
9,Event_PSE_HT,->,Event_PSE_Goal_HT
10,Technical_offensives_HT,->,Event_PSE_TechHead_HT
11,Event_Normal_ChancePK_HT,->,Event_Normal_ChancePK_Goal_HT
12,Unpredictable_offensives_AT,->,Unpredictable_special_action_players_AT
13,Event_PSE_QuickPass_HT,->,Event_PSE_QuickPass_Goal_HT
14,Event_TSE_AT,->,Event_TSE_CornerHead_AT
15,Event_Normal_ChanceLSNonTactic_AT,->,Event_Normal_ChanceLSNonTactic_Goal_AT
16,RatingMidfield_HT,->,CA_tactic_HT
17,Event_PSE_WingHead_AT,->,Event_PSE_WingHead_Goal_AT
18,Event_PSE_AT,->,Event_PSE_QuickRush_AT
19,PDIMs_AT,->,Event_SEZ_PDIM_AT
20,Unpredictable_defenders_HT,->,Event_PSE_UnpredLongPass_HT
21,Event_PSE_UnpredMistake_OwnGoal_HT,->,Event_PSE_UnpredMistake_HT
22,Event_Normal_ChanceLS_HT,->,Event_Normal_ChanceLS_Goal_HT
23,Event_TSE_CornerAnyone_HT,->,Event_TSE_CornerAnyone_Goal_HT
24,Event_TSE_CornerHead_AT,->,Event_TSE_CornerHead_Goal_AT
25,Event_CA_ChanceIFK_AT,->,Event_CA_ChanceIFK_Goal_AT
26,Event_TSE_TiredDef_AT,->,Event_TSE_TiredDef_Goal_AT
27,Event_PSE_Goal_HT,->,Event_SE_Goal_HT
28,CDs_AT,->,CDs_and_WBs_AT
29,Event_TSE_HT,->,Event_TSE_CornerHead_HT
30,Event_PSE_WingAnyone_HT,->,Event_PSE_WingAnyone_Goal_HT
31,Event_Normal_ChanceIFK_AT,->,Event_Normal_ChanceIFK_Goal_AT
32,Event_TSE_ExperienceFwd_AT,->,Event_TSE_ExperienceFwd_Goal_AT
33,Unpredictable_defenders_HT,->,Unpredictable_mistake_players_HT
34,Event_TSE_CornerAnyone_AT,->,Event_TSE_CornerAnyone_Goal_AT
35,Event_CA_ChanceDFK_HT,->,Event_CA_ChanceISP_Goal_HT
36,Event_PSE_AT,->,Event_PSE_WingAnyone_AT
37,Head_offensives_HT,->,Corner_headers_offence_HT
38,TacticSkill_HT,->,TacticType_HT
39,Event_PSE_QuickRush_HT,->,Quick_offensives_HT
40,Unpredictable_offensives_HT,->,Unpredictable_mistake_players_HT
41,PNFs_HT,->,Event_SEZ_PNF_HT
42,Event_TSE_HT,->,Event_TSE_CornerAnyone_HT
43,Event_PSE_TechHead_AT,->,Event_PSE_TechHead_Goal_AT
44,Goals_AT,->,Event_Normal_Goal_AT
45,Event_PSE_UnpredScoreOwn_AT,->,PSE_unpred_chances_missed_AT
46,RatingRightDef_HT,->,RatingMidDef_HT
47,Event_Normal_ChanceIFK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
48,Event_TSE_InexpDef_HT,->,Event_TSE_InexpDef_Goal_HT
49,RatingISPDef_AT,->,Longshots_tactic_AT
50,Event_PSE_UnpredLongPass_AT,->,Event_PSE_UnpredLongPass_Goal_AT
51,Event_SEZ_PNF_HT,->,Event_SEZ_PNF_Goal_HT
52,Event_TSE_CornerAnyone_Goal_HT,->,Event_TSE_Goal_HT
53,Event_PSE_OwnGoal_HT,->,Event_PSE_UnpredOwnGoal_OwnGoal_HT
54,Event_Normal_ChancePK_AT,->,Event_Normal_ChancePK_Goal_AT
55,Event_Normal_ChanceDFK_AT,->,Event_Normal_ChanceDFK_Goal_AT
56,Event_Normal_ChanceLSNonTactic_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
57,Event_PSE_UnpredScoreOwn_HT,->,Event_PSE_UnpredScoreOwn_Goal_HT
58,TacticType_AT,->,CA_tactic_AT
59,Event_PSE_UnpredOwnGoal_OwnGoal_HT,->,Event_PSE_UnpredOwnGoal_HT
60,Event_PSE_WingHead_HT,->,Event_PSE_WingHead_Goal_HT
61,Event_PSE_HT,->,Event_PSE_QuickRush_HT
62,Event_CA_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
63,Event_PSE_UnpredScoreOwn_HT,->,PSE_unpred_chances_missed_HT
64,Event_PSE_QuickStop_HT,->,Quick_defenders_AT
65,Event_CA_ChanceLeft_HT,->,Event_CA_ChanceLeft_Goal_HT
66,Event_TSE_CornerHead_HT,->,Event_TSE_CornerHead_Goal_HT
67,Event_TSE_CornerAnyone_Goal_AT,->,Event_TSE_Goal_AT
68,Event_PSE_QuickRush_HT,->,Event_PSE_QuickRush_Goal_HT
69,Event_PSE_UnpredSpecial_HT,->,PSE_unpred_chances_missed_HT
70,Event_PSE_OwnGoal_AT,->,Event_PSE_UnpredOwnGoal_OwnGoal_AT
71,Event_PSE_AT,->,Event_PSE_Goal_AT
72,Event_PSE_OwnGoal_HT,->,Event_PSE_UnpredMistake_OwnGoal_HT
73,Head_opposing_players_AT,->,Corner_headers_offence_AT
74,Goals_HT,->,Event_Normal_Goal_HT
75,PNFs_AT,->,Event_SEZ_PNF_AT
76,Quick_defenders_HT,->,Event_PSE_QuickStop_AT
77,Event_TSE_HT,->,Event_TSE_ExperienceFwd_HT
78,Event_CA_ChanceRight_HT,->,Event_CA_ChanceRight_Goal_HT
79,Event_PSE_UnpredSpecial_HT,->,Event_PSE_UnpredSpecial_Goal_HT
80,Event_PSE_UnpredOwnGoal_OwnGoal_AT,->,Event_PSE_UnpredOwnGoal_AT
81,Event_TSE_AT,->,Event_TSE_CornerAnyone_AT
82,Event_CA_HT,->,Event_CA_ChanceMid_HT
83,Event_CA_AT,->,Event_CA_Goal_AT
84,Unpredictable_offensives_AT,->,Unpredictable_mistake_players_AT
85,Event_PSE_UnpredLongPass_HT,->,Event_PSE_UnpredLongPass_Goal_HT
86,Event_TSE_HT,->,Event_TSE_InexpDef_HT
87,Event_PSE_QuickRush_AT,->,Event_PSE_QuickRush_Goal_AT
88,Unpredictable_offensives_HT,->,Unpredictable_special_action_players_HT
89,Quick_offensives_HT,->,Event_PSE_QuickPass_HT
90,Event_PSE_QuickPass_AT,->,Event_PSE_QuickPass_Goal_AT
91,Unpredictable_defenders_AT,->,Unpredictable_mistake_players_AT
92,Event_PSE_UnpredScoreOwn_AT,->,Event_PSE_UnpredScoreOwn_Goal_AT
93,Event_TSE_AT,->,Event_TSE_InexpDef_AT
94,Corner_headers_offence_AT,->,Head_offensives_AT
95,Event_Normal_ChanceIFK_HT,->,Event_Normal_ChanceIFK_Goal_HT
96,Event_PSE_UnpredSpecial_AT,->,PSE_unpred_chances_missed_AT
97,Event_TSE_TiredDef_HT,->,Event_TSE_TiredDef_Goal_HT
98,Event_TSE_ExperienceFwd_HT,->,Event_TSE_ExperienceFwd_Goal_HT
99,Event_PSE_UnpredSpecial_AT,->,Event_PSE_UnpredSpecial_Goal_AT
100,Event_PSE_OwnGoal_AT,->,Event_PSE_UnpredMistake_OwnGoal_AT
101,Event_TSE_InexpDef_AT,->,Event_TSE_InexpDef_Goal_AT
102,Event_CA_ChanceMid_AT,->,Event_CA_ChanceMid_Goal_AT
103,Event_PSE_HT,->,Event_PSE_WingAnyone_HT
104,Technical_offensives_AT,->,Event_PSE_TechHead_AT
105,PDIMs_HT,->,Event_SEZ_PDIM_HT
106,Event_PSE_TechHead_HT,->,Event_PSE_TechHead_Goal_HT
107,Event_Normal_ChanceLSNonTactic_Goal_HT,->,Event_Normal_ChanceLS_all_Goal_HT
108,Event_Normal_HT,->,Event_Normal_ChanceMid_HT
