ID,Variable 1,Dependency,Variable 2
1,Event_TSE_CornerHead_Goal_AT,->,Event_TSE_CornerHead_AT
2,Event_CA_ChanceRight_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
3,CDs_HT,-,CDs_and_WBs_HT
4,Event_Normal_ChanceDFK_Goal_HT,-,Event_Normal_ChanceDFK_HT
5,RatingRightAtt_HT,-,Score_right_HT
6,Event_PSE_WingAnyone_AT,->,Wingers_AT
7,Event_PSE_UnpredMistake_AT,->,Event_PSE_AT
8,Event_PSE_QuickRush_Goal_HT,->,Event_PSE_QuickRush_HT
9,Event_PSE_Goal_AT,->,Event_SE_Goal_AT
10,Event_PSE_QuickPass_AT,-,Event_PSE_QuickPass_Goal_AT
11,Event_PSE_Quick_Goal_HT,->,Event_PSE_Goal_HT
12,Quick_defenders_AT,->,PDIMs_AT
13,Quick_defenders_AT,->,Event_PSE_QuickPass_HT
14,Event_CA_Goal_HT,->,Goals_HT
15,CDs_and_WBs_AT,-,Forwards_AT
16,Event_Normal_ChancePK_Goal_HT,-,Event_Normal_ChancePK_HT
17,Event_Normal_ChanceMid_Goal_HT,->,Event_Normal_ChanceLRM_Goal_HT
18,Event_CA_ChanceLeft_AT,-,Event_CA_ChanceMid_AT
19,Event_TSE_CornerHead_AT,->,Event_TSE_AT
20,Forwards_AT,->,PNFs_AT
21,Event_TSE_CornerHead_Goal_HT,->,Event_TSE_CornerHead_HT
22,Event_Normal_ChanceMid_AT,->,Event_Normal_ChanceLeft_AT
23,Event_TSE_TiredDef_AT,-,Event_TSE_TiredDef_Goal_AT
24,Head_opposing_players_HT,->,Forwards_HT
25,TacticType_AT,->,TacticSkill_AT
26,Event_PSE_UnpredOwnGoal_HT,-,Event_PSE_UnpredOwnGoal_OwnGoal_HT
27,Event_Normal_ChanceLS_Goal_HT,->,Event_Normal_ChanceLS_all_Goal_HT
28,Event_Normal_ChanceMid_AT,-,Event_Normal_ChanceMid_Goal_AT
29,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_ChanceLeft_Goal_HT
30,Event_Normal_ChanceMid_Goal_HT,->,Event_Normal_ChanceMid_HT
31,Unpredictable_offensives_AT,->,Unpredictable_players_AT
32,CDs_HT,->,Wingers_HT
33,Event_Normal_ChanceRight_HT,->,Event_Normal_ChanceMid_HT
34,TacticType_HT,->,TacticSkill_HT
35,Event_CA_ChanceRight_HT,->,Event_CA_HT
36,Event_CA_ChanceMid_Goal_AT,->,Event_CA_ChanceMid_AT
