ID,Variable 1,Dependency,Variable 2
1,RatingMidDef_HT,->,Score_middle_AT
2,CDs_and_WBs_HT,->,Forwards_HT
3,PDIMs_HT,->,Event_SEZ_PDIM_HT
4,TacticType_AT,->,AiM_AoW_tactic_AT
5,Event_PSE_Goal_AT,->,Event_SE_Goal_AT
6,Event_Normal_ChanceRight_Goal_HT,->,Event_Normal_ChanceLeft_Goal_HT
7,Event_Normal_ChanceMid_HT,->,Event_Normal_ChanceIFK_HT
8,Event_TSE_HT,->,Event_TSE_Goal_HT
9,Event_PSE_QuickRush_Goal_AT,->,Event_PSE_QuickRush_AT
10,Event_PSE_UnpredMistake_OwnGoal_AT,->,Event_PSE_UnpredOwnGoal_OwnGoal_AT
11,Event_Normal_ChanceDFK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
12,Event_CA_ChanceLMR_Goal_AT,->,Event_CA_ChanceLeft_Goal_AT
13,PSE_spec_player_count_AT,->,Event_TSE_InexpDef_AT
14,Event_TSE_HT,->,Event_TSE_ExperienceFwd_Goal_HT
15,Event_PSE_Quick_Goal_HT,->,Event_PSE_QuickRush_Goal_HT
16,Quick_defenders_HT,->,Event_PSE_QuickStop_AT
17,Longshots_tactic_AT,->,Event_Normal_ChanceDFK_Goal_AT
18,Event_PSE_QuickStop_AT,->,Event_PSE_QuickRush_AT
19,Event_CA_ChanceRight_HT,->,Event_CA_ChanceLeft_HT
20,Unpredictable_offensives_AT,->,Unpredictable_special_action_players_AT
21,Event_PSE_OwnGoal_HT,->,Event_Normal_Goal_AT
22,Head_offensives_HT,->,Event_PSE_WingHead_HT
23,Head_offensives_HT,->,Technical_offensives_HT
24,Head_opposing_players_HT,->,Quick_defenders_HT
25,Event_Normal_Goal_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
26,Event_PSE_UnpredSpecial_Goal_AT,->,Event_PSE_Unpred_Goals_AT
27,RatingISPAtt_HT,->,Score_ISP_HT
28,Unpredictable_special_action_players_HT,->,Head_offensives_HT
29,Event_PSE_UnpredScoreOwn_AT,->,Unpredictable_offensives_AT
30,Event_CA_ChanceLeft_HT,->,Event_CA_ChanceMid_Goal_HT
31,Event_TSE_InexpDef_Goal_HT,->,Event_TSE_Corner_Goal_HT
32,Event_CA_ChanceDFK_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
33,Event_PSE_TechHead_HT,->,Event_PSE_TechHead_Goal_HT
34,Event_Normal_ChanceDFK_HT,->,Event_Normal_ChanceIFK_HT
35,Event_Normal_ChanceLS_HT,->,Event_Normal_ChanceLS_Goal_HT
36,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_ChanceMid_Goal_HT
37,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_ChanceLRM_Goal_HT
38,TacticType_HT,->,Pressing_tactic
39,Event_PSE_OwnGoal_AT,->,Event_PSE_UnpredOwnGoal_OwnGoal_AT
40,Event_PSE_Goal_AT,->,Event_TSE_TiredDef_Goal_AT
41,PSE_spec_player_count_HT,->,Quick_defenders_HT
42,Event_PSE_QuickRush_Goal_HT,->,Event_PSE_QuickPass_Goal_HT
43,Unpredictable_own_goal_players_AT,->,Head_opposing_players_AT
44,CDs_and_WBs_HT,->,Corner_headers_offence_HT
45,TacticType_HT,->,TacticSkill_HT
46,Event_CA_ChanceMid_AT,->,Event_CA_ChanceLeft_AT
47,Event_TSE_Corner_Goal_HT,->,Event_TSE_CornerAnyone_Goal_HT
48,Pressing_tactic,->,Event_Normal_HT
49,Event_TSE_ExperienceFwd_HT,->,Event_TSE_CornerAnyone_HT
50,CA_tactic_HT,->,Event_CA_AT
51,RatingMidfield_AT,->,Forwards_AT
52,CA_tactic_HT,->,Event_Normal_ChanceDFK_AT
53,Event_PSE_HT,->,Event_PSE_AT
54,Event_Normal_HT,->,Goals_HT
55,Event_PSE_OwnGoal_AT,->,Event_Normal_Goal_HT
56,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_UnpredMistake_OwnGoal_AT
57,Event_PSE_TechHead_HT,->,Event_PSE_UnpredSpecial_HT
58,Event_CA_HT,->,Event_CA_Goal_HT
59,RatingMidAtt_AT,->,RatingRightAtt_AT
60,RatingLeftDef_HT,->,Score_right_AT
61,Event_Normal_ChanceRight_HT,->,Event_Normal_ChanceLeft_HT
62,Event_PSE_AT,->,Event_PSE_UnpredLongPass_AT
63,Event_CA_ChanceMid_HT,->,Event_CA_ChanceIFK_HT
64,TacticType_HT,->,Wingers_HT
65,Event_PSE_TechHead_HT,->,Event_PSE_WingAnyone_HT
66,Event_TSE_InexpDef_HT,->,Event_TSE_CornerAnyone_HT
67,Event_Normal_ChanceMid_Goal_AT,->,Event_Normal_ChanceLeft_Goal_AT
68,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_OwnGoal_AT
69,Event_CA_HT,->,Event_CA_ChanceIFK_Goal_HT
70,Unpredictable_defenders_AT,->,Unpredictable_players_AT
71,Event_PSE_Unpred_Goals_HT,->,Event_PSE_TechHead_Goal_HT
72,PSE_spec_player_count_HT,->,Unpredictable_defenders_HT
73,Unpredictable_own_goal_players_AT,->,Unpredictable_mistake_players_AT
74,Event_Normal_ChanceIFK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
75,PSE_spec_player_count_AT,->,Quick_defenders_AT
76,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_WingAnyone_AT
77,Event_CA_ChanceMid_HT,->,Event_CA_ChanceDFK_HT
78,Event_PSE_Wing_Goal_HT,->,Event_PSE_WingAnyone_Goal_HT
79,Event_PSE_Unpred_Goals_AT,->,Event_PSE_TechHead_Goal_AT
80,Head_opposing_players_AT,->,Quick_defenders_AT
81,Event_CA_HT,->,Event_SEZ_TechCA_HT
