ID,Variable 1,Dependency,Variable 2
1,Event_Normal_ChanceLSNonTactic_Goal_HT,->,Event_Normal_ChanceLS_all_Goal_HT
2,Event_Normal_ChanceLSNonTactic_Goal_AT,->,Event_Normal_ChanceLS_all_Goal_AT
3,Event_Normal_ChanceLSNonTactic_Goal_AT,->,Event_Normal_ChanceLSNonTactic_AT
4,Event_PSE_WingHead_AT,->,Event_PSE_WingHead_Goal_AT
5,Event_PSE_UnpredLongPass_Goal_AT,->,Event_PSE_UnpredLongPass_AT
6,Event_PSE_UnpredSpecial_Goal_AT,->,Event_PSE_Unpred_Goals_AT
7,Event_PSE_UnpredScoreOwn_Goal_AT,->,Event_PSE_Unpred_Goals_AT
8,Event_PSE_UnpredLongPass_Goal_AT,->,Event_PSE_Unpred_Goals_AT
9,Event_Normal_ChanceLSNonTactic_Goal_HT,->,Event_Normal_ChanceLSNonTactic_HT
10,Event_TSE_CornerHead_Goal_AT,->,Event_TSE_CornerHead_AT
11,Event_SEZ_PNF_Goal_HT,->,Event_SEZ_PNF_HT
12,Event_Normal_ChancePK_Goal_AT,->,Event_Normal_ChancePK_AT
13,Event_Normal_ChancePK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
14,Event_SEZ_PNF_Goal_AT,->,Event_SEZ_PNF_AT
15,Event_Normal_ChancePK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
16,Event_Normal_ChancePK_Goal_HT,->,Event_Normal_ChancePK_HT
17,Event_SEZ_PDIM_AT,->,PDIMs_AT
18,Event_SEZ_PDIM_HT,->,PDIMs_HT
19,Event_TSE_CornerAnyone_HT,->,Event_TSE_HT
20,Event_TSE_CornerHead_HT,->,Event_TSE_HT
21,Event_Normal_ChanceMid_Goal_AT,->,Event_Normal_ChanceMid_AT
22,Event_Normal_ChanceMid_Goal_HT,->,Event_Normal_ChanceMid_HT
23,Event_Normal_ChanceMid_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
24,Event_Normal_ChanceMid_Goal_HT,->,Event_Normal_ChanceLRM_Goal_HT
25,Corner_headers_offence_HT,->,Corner_headers_defence_HT
26,Corner_headers_offence_AT,->,Corner_headers_defence_AT
27,Event_Normal_ChanceLS_all_Goal_AT,->,Longshots_tactic_AT
28,Event_TSE_HT,->,Event_TSE_ExperienceFwd_HT
29,Event_Normal_ChanceISP_Goal_AT,->,Event_Normal_ChanceDFK_Goal_AT
30,Event_TSE_HT,->,Event_TSE_InexpDef_HT
31,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_ChanceDFK_Goal_HT
32,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_ChanceIFK_Goal_HT
33,Event_Normal_ChanceISP_Goal_AT,->,Event_Normal_ChanceIFK_Goal_AT
34,Event_PSE_Unpred_Goals_AT,->,Event_PSE_WingHead_HT
35,Event_TSE_HT,->,Event_TSE_Goal_HT
36,Event_PSE_Unpred_Goals_AT,->,Event_PSE_Goal_AT
37,Event_PSE_WingHead_AT,->,Event_PSE_Goal_AT
38,PDIMs_AT,->,Forwards_AT
39,Event_TSE_CornerAnyone_AT,->,Event_TSE_AT
40,Event_TSE_CornerHead_AT,->,Event_TSE_AT
41,Event_SEZ_PNF_AT,->,PNFs_AT
42,Event_SEZ_PNF_HT,->,PNFs_HT
43,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_ChanceLeft_Goal_AT
44,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_ChanceRight_Goal_AT
45,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_ChanceLeft_Goal_HT
46,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_ChanceRight_Goal_HT
47,Corner_headers_defence_HT,->,Head_offensives_HT
48,Corner_headers_defence_AT,->,Head_offensives_AT
49,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_Goal_AT
50,Corner_headers_defence_HT,->,Head_opposing_players_HT
51,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_Goal_HT
52,Event_Normal_ChanceISP_Goal_HT,->,Event_Normal_Goal_HT
53,Corner_headers_defence_AT,->,Head_opposing_players_AT
54,Event_TSE_ExperienceFwd_HT,->,Event_TSE_ExperienceFwd_Goal_HT
55,Longshots_tactic_AT,->,Event_Normal_ChanceLS_AT
