ID,Variable 1,Dependency,Variable 2
1,CA_tactic_AT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
2,RatingISPAtt_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
3,RatingLeftDef_HT,->,RatingISPAtt_HT
4,RatingISPDef_HT,->,RatingISPAtt_HT
5,RatingLeftDef_HT,->,RatingISPDef_HT
6,CDs_HT,->,RatingISPDef_HT
7,RatingLeftDef_HT,->,RatingMidDef_HT
8,RatingLeftDef_HT,->,CDs_HT
9,RatingMidDef_HT,->,CDs_HT
10,RatingLeftDef_HT,->,CDs_and_WBs_HT
11,CDs_HT,->,CDs_and_WBs_HT
12,RatingLeftDef_HT,->,RatingRightDef_HT
13,CDs_and_WBs_HT,->,RatingRightDef_HT
14,RatingMidDef_HT,->,AiM_AoW_tactic_HT
15,RatingRightDef_HT,->,AiM_AoW_tactic_HT
16,RatingISPAtt_HT,->,TacticType_HT
17,CDs_and_WBs_HT,->,TacticType_HT
18,AiM_AoW_tactic_HT,->,TacticType_HT
19,TacticType_HT,->,Creatively_tactic_HT
20,TacticType_HT,->,Longshots_tactic_HT
21,CDs_and_WBs_HT,->,Wingers_HT
22,TacticType_HT,->,Wingers_HT
23,CDs_HT,->,Wingers_HT
24,TacticType_HT,->,CA_tactic_HT
25,CDs_and_WBs_HT,->,Event_CA_HT
26,TacticType_HT,->,Event_CA_HT
27,CDs_and_WBs_HT,->,TacticSkill_HT
28,TacticType_HT,->,TacticSkill_HT
29,RatingISPAtt_HT,->,TacticSkill_HT
30,CA_tactic_HT,->,Event_Normal_ChanceDFK_Goal_AT
31,RatingISPDef_HT,->,Event_Normal_ChanceDFK_Goal_AT
32,CA_tactic_HT,->,Event_Normal_ChanceIFK_Goal_AT
33,RatingISPDef_HT,->,Event_Normal_ChanceIFK_Goal_AT
34,CA_tactic_HT,->,Event_Normal_ChancePK_Goal_AT
35,RatingISPDef_HT,->,Event_Normal_ChancePK_Goal_AT
36,RatingRightDef_HT,->,Event_Normal_ChanceLeft_Goal_AT
37,CA_tactic_HT,->,Event_Normal_ChanceLeft_Goal_AT
38,RatingLeftDef_HT,->,Event_Normal_ChanceRight_Goal_AT
39,CA_tactic_HT,->,Event_Normal_ChanceRight_Goal_AT
40,RatingMidDef_HT,->,Event_Normal_ChanceMid_Goal_AT
41,CA_tactic_HT,->,Event_Normal_ChanceMid_Goal_AT
42,Event_Normal_ChanceIFK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
43,Event_Normal_ChanceDFK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
44,Event_Normal_ChancePK_Goal_AT,->,Event_Normal_ChanceISP_Goal_AT
45,Event_Normal_ChanceLeft_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
46,Event_Normal_ChanceRight_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
47,Event_Normal_ChanceMid_Goal_AT,->,Event_Normal_ChanceLRM_Goal_AT
48,Event_Normal_ChanceISP_Goal_AT,->,Event_Normal_ChanceLS_Goal_AT
49,CDs_and_WBs_HT,->,Event_Normal_ChanceLS_Goal_AT
50,Event_Normal_ChanceLRM_Goal_AT,->,Event_Normal_ChanceLS_Goal_AT
51,Event_Normal_ChanceLS_Goal_AT,->,Event_Normal_ChanceLSNonTactic_Goal_AT
52,CA_tactic_HT,->,Event_Normal_ChanceLSNonTactic_Goal_AT
