ID,Variable 1,Dependency,Variable 2
1,AiM_AoW_tactic_AT,->,Event_CA_ChanceMid_AT
2,AiM_AoW_tactic_AT,->,RatingRightDef_AT
3,AiM_AoW_tactic_HT,->,CDs_HT
4,AiM_AoW_tactic_HT,->,Event_CA_ChanceMid_HT
5,AiM_AoW_tactic_HT,->,RatingLeftAtt_HT
6,CA_tactic_AT,->,Event_Normal_ChanceDFK_Goal_HT
7,CA_tactic_AT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
8,CA_tactic_AT,->,Event_Normal_HT
9,CA_tactic_AT,->,Event_PSE_UnpredLongPass_Goal_HT
10,CA_tactic_AT,->,Event_SEZ_TechCA_AT
11,CA_tactic_AT,->,Event_TSE_ExperienceFwd_HT
12,CA_tactic_AT,->,Unpredictable_own_goal_players_AT
13,CA_tactic_HT,->,Event_CA_ChanceISP_Goal_HT
14,CA_tactic_HT,->,Event_Normal_ChanceDFK_Goal_HT
15,CA_tactic_HT,->,Event_SEZ_TechCA_HT
16,CDs_AT,->,Event_SEZ_PNF_HT
17,CDs_AT,->,PDIMs_AT
18,CDs_AT,->,Wingers_HT
19,CDs_HT,->,Event_SEZ_PNF_AT
20,CDs_HT,->,PDIMs_HT
21,CDs_HT,->,RatingLeftDef_HT
22,CDs_HT,->,RatingMidDef_HT
23,CDs_and_WBs_AT,->,CDs_AT
24,CDs_and_WBs_AT,->,Event_CA_AT
25,CDs_and_WBs_AT,->,Event_PSE_QuickPass_AT
26,CDs_and_WBs_AT,->,Event_PSE_TechHead_Goal_AT
27,CDs_and_WBs_AT,->,Event_PSE_UnpredSpecial_AT
28,CDs_and_WBs_AT,->,Event_TSE_InexpDef_AT
29,CDs_and_WBs_AT,->,Forwards_AT
30,CDs_and_WBs_AT,->,Head_offensives_AT
31,CDs_and_WBs_AT,->,Quick_defenders_AT
32,CDs_and_WBs_AT,->,Quick_offensives_AT
33,CDs_and_WBs_AT,->,RatingLeftDef_AT
34,CDs_and_WBs_AT,->,RatingMidAtt_AT
35,CDs_and_WBs_AT,->,RatingMidDef_AT
36,CDs_and_WBs_AT,->,RatingRightDef_AT
37,CDs_and_WBs_AT,->,TacticSkill_AT
38,CDs_and_WBs_AT,->,Tech_defenders_AT
39,CDs_and_WBs_AT,->,Technical_offensives_AT
40,CDs_and_WBs_AT,->,Unpredictable_defenders_AT
