ID,Parent,Child
1,Face_masks,New_infections
2,New_infections,Hospital_admissions
3,New_infections,Patients_in_hospital
4,New_infections,Deaths_with_COVID_on_certificate
5,New_infections,Patients_in_MVBs
6,Lockdown,New_infections
7,Lockdown,Leisure_activity
8,Lockdown,Work_and_school_activity
9,Lockdown,Transportation_activity
10,Lockdown,Hospital_admissions
11,Leisure_activity,New_infections
12,Work_and_school_activity,New_infections
13,Majority_COVID_19_variant,New_infections
14,Majority_COVID_19_variant,Second_dose_uptake
15,Deaths_with_COVID_on_certificate,Excess_mortality
16,Season,New_infections
17,Second_dose_uptake,New_infections
18,Second_dose_uptake,Hospital_admissions
19,Second_dose_uptake,Deaths_with_COVID_on_certificate
20,Tests_across_all_4_Pillars,Positive_tests
