ID,Parent,Child
1,BF_BottleFeeding,CHI_Weight4Height
2,BF_BreastfedMonths,CHI_Weight4Height
3,BF_BreastfedMonths,IMM_Measles
4,BF_BreastfedMonths,IMM_Diptheria
5,BF_BreastfedMonths,IMM_VitaminA1
6,BF_BreastfedMonths,DIA_HadDiarrhoea
7,BF_EarlyBreastfeeding,CHI_Weight4Height
8,BF_EarlyBreastfeeding,IMM_Diptheria
9,BF_EarlyBreastfeeding,IMM_Measles
10,BF_EarlyBreastfeeding,IMM_VitaminA1
11,BF_EarlyBreastfeeding,DIA_HadDiarrhoea
12,CUL_LanguageGroup,IMM_Diptheria
13,CUL_LanguageGroup,IMM_Measles
14,HOU_CookingFuel,CHI_Weight4Height
15,WSH_ImprovedWaterSource,DIA_HadDiarrhoea
16,CUL_Religion,IMM_Diptheria
17,CUL_Religion,IMM_Measles
18,ECO_WealthQuintile,WSH_ImprovedWaterSource
19,ECO_WealthQuintile,FP_ModernMethod
20,ECO_WealthQuintile,HOU_ModernWallMaterial
21,ECO_WealthQuintile,WSH_ImprovedToilet
22,ECO_WealthQuintile,FP_BirthsLast5Yrs
23,GEO_Region,SRV_Near
24,MTH_Education,FP_ModernMethod
25,MTH_Education,BF_BreastfedMonths
26,MTH_Education,IMM_Diptheria
27,MTH_Education,IMM_Measles
28,MTH_Education,BF_EarlyBreastfeeding
29,WSH_ImprovedToilet,DIA_HadDiarrhoea
30,WSH_SafeStoolDisposal,DIA_HadDiarrhoea
31,WSH_WashWithAgent,DIA_HadDiarrhoea
32,WSH_WaterTreated,DIA_HadDiarrhoea
33,KNW_WatchTV,IMM_Diptheria
34,KNW_WatchTV,IMM_Measles
