ID,Parent,Child
1,Anxiety,ResponsivenessToTreatment
2,ComplianceWithSupervision,ResponsivenessToTreatment
3,RefuseFailToAttendTherapy,Violence
4,ASPD,Violence
5,CriminalNetwork,CriminalAttitude
6,BPD,Violence
7,CannabisAfterRelease,CriminalAttitude
8,CannabisAfterRelease,Anxiety
9,CannabisAfterRelease,Depression
10,Impulsivity,Violence
11,CocaineAfterRelease,CriminalAttitude
12,CocaineAfterRelease,Anxiety
13,CocaineAfterRelease,Depression
14,CriminalFamilyBackground,CriminalAttitude
15,Depression,ResponsivenessToTreatment
16,EcstasyAfterRelease,CriminalAttitude
17,EcstasyAfterRelease,Anxiety
18,EcstasyAfterRelease,Depression
19,GangMember,CriminalAttitude
20,LivingCircumstances,CriminalAttitude
21,LivingCircumstances,Anxiety
22,PCLRfacet3,Violence
23,PCLRfactor1,Violence
24,PCLRfactor2,Violence
25,PriorViolentConvictions,Violence
26,SymptomsOfMentalIllness,ResponsivenessToTreatment
27,SocialWithdraw,Anxiety
28,SocialWithdraw,Depression
29,pclrscore,Violence
30,CannabisDependence,CriminalAttitude
31,CocaineDependence,CriminalAttitude
32,EcstasyDependence,CriminalAttitude
