ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,DIA_HadDiarrhoea
5,BF_BreastfedMonths,->,FP_ModernMethod
6,BF_EarlyBreastfeeding,->,DEL_SmallBaby
7,CHI_Age,->,BF_BottleFeeding
8,CHI_Age,->,BF_BreastfedMonths
9,CHI_Age,->,CHI_Weight4Height
10,CHI_Age,->,DIA_HadDiarrhoea
11,CHI_Age,->,FP_ModernMethod
12,CHI_Age,->,IMM_Diptheria
13,CHI_Age,->,IMM_Measles
14,CHI_Age,-,IMM_VitaminA1
15,CHI_Age,-,WSH_SafeStoolDisposal
16,CHI_Weight4Height,->,DEL_SmallBaby
17,CUL_LanguageGroup,->,BF_BottleFeeding
18,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
19,CUL_LanguageGroup,->,HOU_CookingFuel
20,CUL_LanguageGroup,->,HOU_ModernWallMaterial
21,CUL_LanguageGroup,->,KNW_WatchTV
22,CUL_LanguageGroup,->,MTH_Education
23,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
24,CUL_LanguageGroup,->,WSH_WashWithAgent
25,CUL_LanguageGroup,->,WSH_WaterTreated
26,CUL_Religion,->,CUL_LanguageGroup
27,CUL_Religion,->,HOU_ModernWallMaterial
28,CUL_Religion,->,IMM_Measles
29,CUL_Religion,->,KNW_WatchTV
30,CUL_Religion,->,MTH_Education
31,CUL_Religion,->,SRV_Near
32,CUL_Religion,->,SRV_OKAlone
33,CUL_Religion,->,WSH_ImprovedWaterSource
34,CUL_Religion,->,WSH_WaterTreated
35,ECO_WealthQuintile,->,BF_BottleFeeding
36,ECO_WealthQuintile,->,CUL_LanguageGroup
37,ECO_WealthQuintile,->,CUL_Religion
38,ECO_WealthQuintile,->,HOU_CookingFuel
39,ECO_WealthQuintile,->,HOU_ModernWallMaterial
40,ECO_WealthQuintile,->,IMM_Diptheria
41,ECO_WealthQuintile,->,KNW_WatchTV
42,ECO_WealthQuintile,->,MTH_Education
43,ECO_WealthQuintile,->,SRV_Near
44,ECO_WealthQuintile,->,WSH_ImprovedToilet
45,ECO_WealthQuintile,->,WSH_WashWithAgent
