ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,CHI_Age
4,BF_BottleFeeding,-,GEO_Region
5,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
6,BF_BreastfedMonths,->,FP_ModernMethod
7,BF_EarlyBreastfeeding,->,DEL_SmallBaby
8,CHI_Age,->,BF_BreastfedMonths
9,CHI_Age,->,CHI_Weight4Height
10,CHI_Age,->,DIA_HadDiarrhoea
11,CHI_Age,->,FP_BirthsLast5Yrs
12,CHI_Age,->,FP_ModernMethod
13,CHI_Age,->,IMM_Diptheria
14,CHI_Age,->,MTH_MaternalAge
15,CHI_Age,->,WSH_SafeStoolDisposal
16,CHI_Weight4Height,->,DEL_SmallBaby
17,BF_BottleFeeding,-,CUL_LanguageGroup
18,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
19,CUL_LanguageGroup,->,CUL_Religion
20,CUL_LanguageGroup,-,ECO_WealthQuintile
21,CUL_LanguageGroup,-,GEO_Region
22,CUL_LanguageGroup,-,HOU_CookingFuel
23,CUL_LanguageGroup,-,HOU_ModernWallMaterial
24,CUL_LanguageGroup,->,IMM_VitaminA1
25,CUL_LanguageGroup,->,KNW_WatchTV
26,CUL_LanguageGroup,->,MTH_Education
27,CUL_LanguageGroup,-,WSH_ImprovedToilet
28,CUL_LanguageGroup,-,WSH_ImprovedWaterSource
29,CUL_LanguageGroup,-,WSH_WashWithAgent
30,CUL_Religion,->,IMM_Measles
31,CUL_Religion,->,IMM_VitaminA1
32,CUL_Religion,->,KNW_WatchTV
33,CUL_Religion,->,MTH_Education
34,CUL_Religion,->,MTH_MaternalAge
35,CUL_Religion,->,SRV_Near
36,CUL_Religion,->,SRV_OKAlone
37,CUL_Religion,->,WSH_WaterTreated
38,BF_BottleFeeding,-,ECO_WealthQuintile
39,ECO_WealthQuintile,->,CHI_Age
40,ECO_WealthQuintile,-,GEO_Region
41,ECO_WealthQuintile,-,HOU_CookingFuel
42,ECO_WealthQuintile,-,HOU_ModernWallMaterial
43,ECO_WealthQuintile,->,IMM_VitaminA1
44,ECO_WealthQuintile,->,KNW_WatchTV
45,ECO_WealthQuintile,->,MTH_Education
46,ECO_WealthQuintile,->,MTH_MaternalAge
47,ECO_WealthQuintile,->,SRV_Near
48,ECO_WealthQuintile,-,WSH_ImprovedToilet
49,ECO_WealthQuintile,-,WSH_ImprovedWaterSource
50,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
51,ECO_WealthQuintile,-,WSH_WashWithAgent
52,ECO_WealthQuintile,->,WSH_WaterTreated
53,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
54,GEO_Region,->,BF_EarlyBreastfeeding
55,GEO_Region,->,CHI_Weight4Height
56,GEO_Region,->,CUL_Religion
57,GEO_Region,->,DIA_HadDiarrhoea
58,GEO_Region,-,HOU_CookingFuel
59,GEO_Region,-,HOU_ModernWallMaterial
60,GEO_Region,->,IMM_VitaminA1
61,GEO_Region,->,KNW_WatchTV
62,GEO_Region,->,SRV_Near
63,GEO_Region,->,SRV_OKAlone
64,GEO_Region,-,WSH_ImprovedToilet
65,GEO_Region,-,WSH_ImprovedWaterSource
66,GEO_Region,-,WSH_WashWithAgent
67,GEO_Region,->,WSH_WaterTreated
68,HOU_CookingFuel,-,HOU_ModernWallMaterial
69,HOU_CookingFuel,->,WSH_WaterTreated
70,HOU_ModernWallMaterial,->,CUL_Religion
71,IMM_Diptheria,->,BF_BreastfedMonths
72,IMM_Diptheria,->,FP_ModernMethod
73,IMM_Measles,->,CHI_Age
74,IMM_Measles,->,IMM_Diptheria
75,IMM_VitaminA1,->,BF_EarlyBreastfeeding
76,IMM_VitaminA1,->,CHI_Age
77,IMM_VitaminA1,->,IMM_Diptheria
78,IMM_VitaminA1,->,IMM_Measles
79,KNW_WatchTV,->,FP_ModernMethod
80,KNW_WatchTV,->,IMM_Diptheria
81,KNW_WatchTV,->,SRV_Near
82,KNW_WatchTV,->,SRV_OKAlone
83,MTH_Education,->,FP_BirthsLast5Yrs
84,MTH_Education,->,KNW_WatchTV
85,MTH_MaternalAge,->,FP_BirthsLast5Yrs
86,MTH_MaternalAge,->,MTH_Education
87,SRV_Near,->,SRV_OKAlone
88,WSH_ImprovedToilet,->,CHI_Weight4Height
89,WSH_ImprovedToilet,->,CUL_Religion
90,WSH_ImprovedToilet,->,IMM_Measles
91,WSH_ImprovedToilet,->,MTH_Education
92,WSH_ImprovedToilet,-,WSH_ImprovedWaterSource
93,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
94,WSH_ImprovedToilet,-,WSH_WashWithAgent
95,WSH_ImprovedWaterSource,->,CUL_Religion
96,HOU_CookingFuel,-,WSH_ImprovedWaterSource
97,HOU_ModernWallMaterial,-,WSH_ImprovedWaterSource
98,WSH_ImprovedWaterSource,->,WSH_WaterTreated
99,WSH_SafeStoolDisposal,->,FP_BirthsLast5Yrs
