ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BottleFeeding,->,CHI_Age
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,CHI_Age
5,BF_BreastfedMonths,->,CHI_Weight4Height
6,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
7,BF_BreastfedMonths,->,FP_ModernMethod
8,BF_BreastfedMonths,->,IMM_Diptheria
9,BF_BreastfedMonths,->,IMM_Measles
10,BF_BreastfedMonths,->,IMM_VitaminA1
11,BF_EarlyBreastfeeding,->,CHI_Weight4Height
12,BF_EarlyBreastfeeding,->,DEL_SmallBaby
13,BF_EarlyBreastfeeding,->,IMM_Diptheria
14,BF_EarlyBreastfeeding,->,IMM_Measles
15,BF_EarlyBreastfeeding,->,IMM_VitaminA1
16,CHI_Age,->,FP_BirthsLast5Yrs
17,CHI_Age,->,FP_ModernMethod
18,CHI_Age,->,WSH_SafeStoolDisposal
19,CHI_Weight4Height,->,DEL_SmallBaby
20,CUL_LanguageGroup,->,BF_BottleFeeding
21,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
22,CUL_LanguageGroup,->,CUL_Religion
23,CUL_LanguageGroup,->,HOU_ModernWallMaterial
24,CUL_LanguageGroup,->,IMM_Diptheria
25,CUL_LanguageGroup,->,IMM_Measles
26,CUL_LanguageGroup,->,WSH_WashWithAgent
27,CUL_Religion,->,IMM_Diptheria
28,CUL_Religion,->,IMM_Measles
29,CUL_Religion,->,SRV_Near
30,CUL_Religion,->,SRV_OKAlone
31,ECO_WealthQuintile,->,BF_BottleFeeding
32,BF_BreastfedMonths,-,ECO_WealthQuintile
33,ECO_WealthQuintile,->,FP_ModernMethod
34,ECO_WealthQuintile,->,GEO_Region
35,ECO_WealthQuintile,->,HOU_CookingFuel
36,ECO_WealthQuintile,->,HOU_ModernWallMaterial
37,ECO_WealthQuintile,-,KNW_WatchTV
38,ECO_WealthQuintile,-,MTH_Education
39,ECO_WealthQuintile,-,MTH_MaternalAge
40,ECO_WealthQuintile,->,SRV_Near
41,ECO_WealthQuintile,-,WSH_ImprovedToilet
42,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
43,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
44,ECO_WealthQuintile,->,WSH_WashWithAgent
45,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
46,GEO_Region,->,BF_BottleFeeding
47,GEO_Region,->,BF_EarlyBreastfeeding
48,GEO_Region,->,CUL_LanguageGroup
49,GEO_Region,->,CUL_Religion
50,GEO_Region,->,HOU_CookingFuel
51,GEO_Region,->,HOU_ModernWallMaterial
52,GEO_Region,->,IMM_VitaminA1
53,GEO_Region,->,SRV_Near
54,GEO_Region,->,SRV_OKAlone
55,GEO_Region,->,WSH_WashWithAgent
56,HOU_ModernWallMaterial,->,CUL_Religion
57,HOU_ModernWallMaterial,->,HOU_CookingFuel
58,IMM_Diptheria,->,CHI_Age
59,IMM_Diptheria,-,IMM_Measles
