ID,Variable 1,Dependency,Variable 2
1,ASPD,->,BPD
2,ASPD,->,GangMember
3,ASPD,->,Violence
4,AlcoholDependence,-,HazardousDrinkingAfterRelease
5,Anxiety,->,AbilityToCope
6,Anxiety,->,Anger
7,Anxiety,->,ParanoidDelusions
8,Anxiety,->,ResponsivenessToTreatment
9,Anxiety,->,StrangeExperiences
10,Anxiety,->,Stress
11,Anxiety,->,SymptomsOfMentalIllness
12,Anxiety,->,ViolentThoughts
13,BPD,->,Violence
14,CannabisAfterRelease,->,Anxiety
15,CannabisAfterRelease,->,CannabisDependence
16,CannabisAfterRelease,->,CriminalAttitude
17,CannabisAfterRelease,->,Depression
18,CannabisBeforePrisonSentence,->,Age
19,CannabisBeforePrisonSentence,->,CannabisAfterRelease
20,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
21,CannabisBeforePrisonSentence,->,FinancialDifficulties
22,CannabisBeforePrisonSentence,->,PCLRfactor2
23,CannabisDependence,->,CriminalAttitude
24,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
25,CocaineAfterRelease,->,Anxiety
26,CocaineAfterRelease,->,CannabisAfterRelease
27,CocaineAfterRelease,->,CocaineBeforePrisonSentence
28,CocaineAfterRelease,->,CriminalAttitude
29,CocaineAfterRelease,->,Depression
30,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
31,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
32,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
33,CocaineDependence,->,CocaineAfterRelease
34,CocaineDependence,->,CriminalAttitude
35,ComplianceWithSupervision,->,ResponsivenessToTreatment
36,CriminalFamilyBackground,->,CriminalAttitude
37,CriminalFamilyBackground,->,CriminalNetwork
38,CriminalNetwork,->,CriminalAttitude
39,Depression,->,EmploymentOrTraining
40,Depression,->,ResponsivenessToTreatment
41,EcstasyAfterRelease,->,Anxiety
42,EcstasyAfterRelease,->,CocaineAfterRelease
43,EcstasyAfterRelease,->,CriminalAttitude
44,EcstasyAfterRelease,->,Depression
45,EcstasyAfterRelease,->,EcstasyDependence
46,EcstasyAfterRelease,-,HazardousDrinkingAfterRelease
47,CannabisBeforePrisonSentence,-,EcstasyBeforePrisonSentence
48,EcstasyDependence,->,CocaineDependence
49,EcstasyDependence,->,CriminalAttitude
50,FinancialDifficulties,->,DomesticStability
51,GangMember,->,CriminalAttitude
52,GangMember,->,CriminalFamilyBackground
53,AbuseNeglectAsChild,-,Gender
54,Gender,->,EcstasyDependence
55,Gender,-,Intelligence
56,Gender,-,TimeAtRisk
57,Impulsivity,->,Violence
58,LivingCircumstances,->,Anxiety
59,LivingCircumstances,->,CriminalAttitude
60,NegativeAttitude,->,ComplianceWithSupervision
61,PCLRfacet3,->,Impulsivity
62,PCLRfacet3,->,Violence
63,PCLRfactor1,->,Violence
64,PCLRfactor2,->,ASPD
65,PCLRfactor2,->,PCLRfacet3
66,PCLRfactor2,->,Violence
67,PCLRfactor2,->,pclrscore
68,ParanoidDelusions,->,ThoughtInsertion
69,ParanoidDelusions,->,Victimisation
70,PriorViolentConvictions,->,Violence
71,RefuseFailToAttendTherapy,->,Violence
72,SocialWithdraw,->,Anxiety
73,SocialWithdraw,->,Depression
74,Stress,->,FinancialDifficulties
75,SymptomsOfMentalIllness,->,Hallucinations
76,SymptomsOfMentalIllness,->,ResponsivenessToTreatment
77,pclrscore,->,NegativeAttitude
78,pclrscore,->,PCLRfactor1
79,pclrscore,->,Violence
80,Gender,-,prioracq
81,PriorViolentConvictions,-,prioracq
