ID,Variable 1,Dependency,Variable 2
1,ASPD,->,BPD
2,ASPD,->,CriminalAttitude
3,ASPD,->,GangMember
4,AlcoholDependence,-,HazardousDrinkingAfterRelease
5,Anxiety,->,AbilityToCope
6,Anxiety,->,Anger
7,Anxiety,->,Depression
8,Anxiety,->,ParanoidDelusions
9,Anxiety,->,StrangeExperiences
10,Anxiety,->,Stress
11,Anxiety,->,SymptomsOfMentalIllness
12,CannabisAfterRelease,->,CannabisDependence
13,CannabisBeforePrisonSentence,->,Age
14,CannabisBeforePrisonSentence,->,CannabisAfterRelease
15,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
16,CannabisBeforePrisonSentence,->,FinancialDifficulties
17,CannabisBeforePrisonSentence,->,PCLRfactor2
18,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
19,CocaineAfterRelease,->,CannabisAfterRelease
20,CocaineAfterRelease,->,CocaineBeforePrisonSentence
21,CocaineAfterRelease,->,ViolentThoughts
22,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
23,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
24,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
25,CocaineDependence,->,CocaineAfterRelease
26,ComplianceWithSupervision,->,ResponsivenessToTreatment
27,CriminalFamilyBackground,->,CriminalNetwork
28,Depression,->,EmploymentOrTraining
29,EcstasyAfterRelease,->,CocaineAfterRelease
30,EcstasyAfterRelease,->,EcstasyDependence
31,EcstasyAfterRelease,-,HazardousDrinkingAfterRelease
32,CannabisBeforePrisonSentence,-,EcstasyBeforePrisonSentence
33,EcstasyDependence,->,CocaineDependence
34,FinancialDifficulties,->,DomesticStability
35,GangMember,->,CriminalFamilyBackground
36,AbuseNeglectAsChild,-,Gender
37,Gender,->,EcstasyDependence
38,Gender,-,Intelligence
39,Gender,-,TimeAtRisk
40,HazardousDrinkingAfterRelease,-,Violence
41,NegativeAttitude,->,ComplianceWithSupervision
42,PCLRfacet3,->,Impulsivity
43,PCLRfactor2,->,ASPD
44,PCLRfactor2,->,PCLRfacet3
45,PCLRfactor2,->,pclrscore
46,ParanoidDelusions,->,ThoughtInsertion
47,ParanoidDelusions,->,Victimisation
48,PriorViolentConvictions,-,Violence
49,PriorViolentConvictions,-,prioracq
50,Stress,->,FinancialDifficulties
51,SymptomsOfMentalIllness,->,Hallucinations
52,ViolentThoughts,->,Anxiety
53,pclrscore,->,NegativeAttitude
54,pclrscore,->,PCLRfactor1
55,Gender,-,prioracq
