ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BreastfedMonths,->,FP_ModernMethod
3,BF_EarlyBreastfeeding,->,BF_BottleFeeding
4,BF_EarlyBreastfeeding,->,DEL_SmallBaby
5,CHI_Age,->,BF_BottleFeeding
6,CHI_Age,->,BF_BreastfedMonths
7,CHI_Age,->,CHI_Weight4Height
8,CHI_Age,->,DIA_HadDiarrhoea
9,CHI_Age,->,FP_ModernMethod
10,CHI_Age,->,IMM_Diptheria
11,CHI_Age,->,IMM_Measles
12,CHI_Age,->,IMM_VitaminA1
13,CHI_Age,->,WSH_SafeStoolDisposal
14,CHI_Weight4Height,->,DEL_SmallBaby
15,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
16,CUL_LanguageGroup,->,CUL_Religion
17,CUL_Religion,->,IMM_Measles
18,CUL_Religion,->,WSH_SafeStoolDisposal
19,ECO_WealthQuintile,->,BF_BottleFeeding
20,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
21,ECO_WealthQuintile,->,HOU_CookingFuel
22,ECO_WealthQuintile,->,HOU_ModernWallMaterial
23,ECO_WealthQuintile,-,SRV_Near
24,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
25,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
26,FP_BirthsLast5Yrs,->,BF_EarlyBreastfeeding
27,FP_BirthsLast5Yrs,->,CHI_Age
28,FP_BirthsLast5Yrs,->,WSH_ImprovedToilet
29,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
30,GEO_Region,->,BF_EarlyBreastfeeding
31,GEO_Region,->,CHI_Weight4Height
32,GEO_Region,->,CUL_LanguageGroup
33,GEO_Region,->,CUL_Religion
34,GEO_Region,->,DIA_HadDiarrhoea
35,GEO_Region,->,HOU_CookingFuel
36,GEO_Region,->,HOU_ModernWallMaterial
37,GEO_Region,->,SRV_OKAlone
38,GEO_Region,->,WSH_ImprovedWaterSource
39,GEO_Region,->,WSH_WaterTreated
40,HOU_CookingFuel,->,HOU_ModernWallMaterial
41,HOU_ModernWallMaterial,->,CUL_LanguageGroup
42,HOU_ModernWallMaterial,->,CUL_Religion
43,IMM_Diptheria,->,BF_BreastfedMonths
44,IMM_Diptheria,->,FP_ModernMethod
45,IMM_Measles,->,IMM_Diptheria
46,IMM_VitaminA1,->,BF_EarlyBreastfeeding
47,IMM_VitaminA1,->,GEO_Region
48,IMM_VitaminA1,->,IMM_Diptheria
49,IMM_VitaminA1,->,IMM_Measles
50,KNW_WatchTV,->,CUL_LanguageGroup
51,ECO_WealthQuintile,-,KNW_WatchTV
52,KNW_WatchTV,->,FP_BirthsLast5Yrs
53,KNW_WatchTV,->,FP_ModernMethod
54,KNW_WatchTV,->,GEO_Region
55,KNW_WatchTV,->,HOU_CookingFuel
56,KNW_WatchTV,->,IMM_Diptheria
57,KNW_WatchTV,->,IMM_VitaminA1
58,KNW_WatchTV,->,MTH_Education
59,KNW_WatchTV,-,MTH_MaternalAge
60,KNW_WatchTV,-,SRV_Near
61,KNW_WatchTV,->,SRV_OKAlone
62,KNW_WatchTV,->,WSH_ImprovedToilet
63,KNW_WatchTV,->,WSH_ImprovedWaterSource
64,KNW_WatchTV,->,WSH_SafeStoolDisposal
65,KNW_WatchTV,->,WSH_WashWithAgent
66,KNW_WatchTV,->,WSH_WaterTreated
67,MTH_Education,->,FP_BirthsLast5Yrs
68,MTH_Education,->,GEO_Region
69,MTH_Education,->,IMM_Measles
70,MTH_Education,->,IMM_VitaminA1
71,MTH_MaternalAge,->,CHI_Age
72,ECO_WealthQuintile,-,MTH_MaternalAge
73,MTH_MaternalAge,->,MTH_Education
74,MTH_MaternalAge,->,WSH_ImprovedToilet
75,MTH_MaternalAge,->,WSH_WashWithAgent
76,MTH_MaternalAge,->,WSH_WaterTreated
77,SRV_Near,->,MTH_Education
78,SRV_Near,->,SRV_OKAlone
79,SRV_Near,->,WSH_ImprovedToilet
80,SRV_Near,->,WSH_WashWithAgent
81,SRV_OKAlone,->,WSH_WaterTreated
82,WSH_ImprovedToilet,->,CHI_Weight4Height
83,WSH_ImprovedToilet,->,CUL_Religion
84,WSH_ImprovedToilet,->,GEO_Region
85,WSH_ImprovedToilet,->,HOU_ModernWallMaterial
86,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
87,WSH_ImprovedWaterSource,->,CUL_LanguageGroup
88,WSH_ImprovedWaterSource,->,CUL_Religion
89,WSH_ImprovedWaterSource,->,HOU_CookingFuel
90,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
91,WSH_WashWithAgent,->,CUL_LanguageGroup
92,WSH_WashWithAgent,->,GEO_Region
93,WSH_WaterTreated,->,CUL_LanguageGroup
94,WSH_WaterTreated,->,HOU_CookingFuel
95,WSH_WaterTreated,->,WSH_ImprovedWaterSource
