ID,Variable 1,Dependency,Variable 2
1,ASPD,->,CriminalAttitude
2,ASPD,->,NegativeAttitude
3,Anger,->,Depression
4,Anxiety,->,AbilityToCope
5,Anxiety,->,Anger
6,Anxiety,->,ParanoidDelusions
7,Anxiety,->,StrangeExperiences
8,Anxiety,->,Stress
9,Anxiety,->,ViolentThoughts
10,CannabisBeforePrisonSentence,->,ASPD
11,CannabisBeforePrisonSentence,->,Age
12,CannabisBeforePrisonSentence,->,CannabisAfterRelease
13,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
14,CannabisBeforePrisonSentence,->,CriminalFamilyBackground
15,CannabisBeforePrisonSentence,->,FinancialDifficulties
16,CannabisBeforePrisonSentence,->,Impulsivity
17,CannabisBeforePrisonSentence,->,PCLRfacet3
18,CannabisBeforePrisonSentence,->,PCLRfactor2
19,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
20,CocaineAfterRelease,->,CocaineBeforePrisonSentence
21,CocaineAfterRelease,->,Gender
22,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
23,CocaineBeforePrisonSentence,->,CocaineDependence
24,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
25,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
26,CocaineBeforePrisonSentence,->,GangMember
27,CocaineDependence,->,Gender
28,ComplianceWithSupervision,->,ResponsivenessToTreatment
29,Depression,->,EmploymentOrTraining
30,EcstasyAfterRelease,->,HazardousDrinkingAfterRelease
31,CannabisBeforePrisonSentence,-,EcstasyBeforePrisonSentence
32,EcstasyBeforePrisonSentence,->,CriminalNetwork
33,EcstasyBeforePrisonSentence,->,EcstasyAfterRelease
34,FinancialDifficulties,->,DomesticStability
35,Gender,->,AbuseNeglectAsChild
36,Gender,->,CannabisDependence
37,Gender,->,EcstasyDependence
38,Gender,->,Intelligence
39,Gender,->,TimeAtRisk
40,Gender,->,prioracq
41,HazardousDrinkingAfterRelease,->,AlcoholDependence
42,NegativeAttitude,->,ComplianceWithSupervision
43,NegativeAttitude,->,PCLRfactor1
44,NegativeAttitude,->,pclrscore
45,ParanoidDelusions,->,ThoughtInsertion
46,ParanoidDelusions,->,Victimisation
47,PriorViolentConvictions,->,Violence
48,Stress,->,Depression
49,Stress,->,FinancialDifficulties
50,SymptomsOfMentalIllness,->,Anxiety
51,Hallucinations,-,SymptomsOfMentalIllness
52,ViolentThoughts,->,CocaineAfterRelease
53,prioracq,->,PriorViolentConvictions
