ID,Variable 1,Dependency,Variable 2
1,GEO_Region,->,HOU_ModernWallMaterial
2,MTH_MaternalAge,->,CHI_Age
3,SRV_Near,->,SRV_OKAlone
4,CUL_Religion,->,WSH_ImprovedToilet
5,CUL_Religion,->,HOU_ModernWallMaterial
6,CHI_Age,->,BF_BottleFeeding
7,GEO_Region,->,WSH_WaterTreated
8,CHI_Age,->,WSH_SafeStoolDisposal
9,IMM_Measles,->,IMM_Diptheria
10,IMM_Diptheria,->,IMM_VitaminA1
11,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
12,WSH_ImprovedWaterSource,->,WSH_WaterTreated
13,WSH_WaterTreated,->,HOU_CookingFuel
14,HOU_ModernWallMaterial,->,BF_EarlyBreastfeeding
15,BF_BottleFeeding,->,BF_EarlyBreastfeeding
16,KNW_WatchTV,->,MTH_Education
17,GEO_Region,->,WSH_ImprovedWaterSource
18,IMM_VitaminA1,->,BF_EarlyBreastfeeding
19,CHI_Age,->,IMM_Measles
20,IMM_Measles,->,IMM_VitaminA1
21,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
22,CHI_Age,->,FP_BirthsLast5Yrs
23,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
24,CUL_Religion,->,WSH_ImprovedWaterSource
25,CUL_LanguageGroup,->,GEO_Region
26,MTH_MaternalAge,->,FP_BirthsLast5Yrs
27,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
28,CUL_LanguageGroup,->,CUL_Religion
29,ECO_WealthQuintile,->,WSH_ImprovedToilet
30,KNW_WatchTV,->,CUL_Religion
31,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
32,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
33,FP_ModernMethod,->,BF_BreastfedMonths
34,CHI_Age,->,BF_BreastfedMonths
35,BF_BottleFeeding,->,BF_BreastfedMonths
36,IMM_Diptheria,->,BF_BreastfedMonths
37,CUL_LanguageGroup,->,HOU_CookingFuel
38,KNW_WatchTV,->,SRV_Near
39,MTH_MaternalAge,->,MTH_Education
40,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
41,HOU_CookingFuel,->,HOU_ModernWallMaterial
42,WSH_ImprovedWaterSource,->,HOU_CookingFuel
