ID,Variable 1,Dependency,Variable 2
1,BF_EarlyBreastfeeding,->,DIA_HadDiarrhoea
2,CUL_Religion,->,IMM_Measles
3,ECO_WealthQuintile,->,FP_ModernMethod
4,MTH_Education,->,IMM_Diptheria
5,BF_BreastfedMonths,->,CHI_Weight4Height
6,WSH_SafeStoolDisposal,->,DIA_HadDiarrhoea
7,BF_BottleFeeding,->,CHI_Weight4Height
8,KNW_WatchTV,->,IMM_Measles
9,IMM_Diptheria,->,IMM_Measles
10,IMM_Measles,->,CHI_Age
11,WSH_ImprovedToilet,->,DIA_HadDiarrhoea
12,GEO_Region,->,WSH_ImprovedWaterSource
13,MTH_Education,->,FP_ModernMethod
14,BF_EarlyBreastfeeding,->,IMM_Diptheria
15,BF_BreastfedMonths,->,CHI_Age
16,CUL_Religion,->,HOU_ModernWallMaterial
17,CHI_Age,->,FP_BirthsLast5Yrs
18,BF_BottleFeeding,->,CHI_Age
19,MTH_MaternalAge,->,FP_BirthsLast5Yrs
20,HOU_ModernWallMaterial,->,HOU_CookingFuel
21,ECO_WealthQuintile,->,WSH_ImprovedToilet
22,CUL_LanguageGroup,->,CUL_Religion
23,BF_BreastfedMonths,->,DIA_HadDiarrhoea
24,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
25,ECO_WealthQuintile,->,HOU_ModernWallMaterial
26,CUL_LanguageGroup,->,IMM_Diptheria
27,WSH_WaterTreated,->,DIA_HadDiarrhoea
28,BF_BreastfedMonths,->,IMM_Diptheria
29,MTH_Education,->,IMM_Measles
30,CUL_LanguageGroup,->,GEO_Region
31,CUL_Religion,->,WSH_ImprovedToilet
32,HOU_CookingFuel,->,CHI_Weight4Height
33,GEO_Region,->,SRV_Near
34,MTH_MaternalAge,->,CHI_Age
35,BF_BreastfedMonths,->,FP_ModernMethod
36,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
37,BF_EarlyBreastfeeding,->,IMM_Measles
38,KNW_WatchTV,->,MTH_Education
39,BF_EarlyBreastfeeding,->,IMM_VitaminA1
40,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
41,MTH_Education,->,BF_EarlyBreastfeeding
42,BF_EarlyBreastfeeding,->,CUL_LanguageGroup
43,WSH_ImprovedWaterSource,->,WSH_WaterTreated
44,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
45,CHI_Age,->,WSH_SafeStoolDisposal
46,WSH_WashWithAgent,->,WSH_WaterTreated
47,WSH_WashWithAgent,->,DIA_HadDiarrhoea
48,ECO_WealthQuintile,->,MTH_Education
49,CUL_Religion,->,IMM_Diptheria
50,CUL_LanguageGroup,->,IMM_Measles
51,SRV_Near,->,SRV_OKAlone
52,BF_BreastfedMonths,->,IMM_VitaminA1
53,ECO_WealthQuintile,->,KNW_WatchTV
54,BF_BreastfedMonths,->,IMM_Measles
55,IMM_Measles,->,IMM_VitaminA1
56,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
57,IMM_Diptheria,->,IMM_VitaminA1
58,FP_BirthsLast5Yrs,->,FP_ModernMethod
59,KNW_WatchTV,->,IMM_Diptheria
60,BF_EarlyBreastfeeding,->,CHI_Weight4Height
61,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
62,MTH_Education,->,BF_BreastfedMonths
63,GEO_Region,->,HOU_ModernWallMaterial
64,WSH_ImprovedWaterSource,->,HOU_CookingFuel
65,BF_BottleFeeding,->,BF_EarlyBreastfeeding
66,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
