ID,Variable 1,Dependency,Variable 2
1,SymptomsOfMentalIllness,->,ResponsivenessToTreatment
2,AbilityToCope,->,FinancialDifficulties
3,CocaineDuringPrisonSentence,->,CannabisDuringPrisonSentence
4,CocaineAfterRelease,->,CocaineDependence
5,CannabisAfterRelease,->,Anxiety
6,PCLRfacet3,->,Violence
7,StrangeExperiences,->,ParanoidDelusions
8,CannabisBeforePrisonSentence,->,CannabisAfterRelease
9,CocaineAfterRelease,->,Depression
10,PCLRfactor2,->,pclrscore
11,EcstasyAfterRelease,->,Depression
12,pclrscore,->,PCLRfactor1
13,CriminalNetwork,->,CriminalAttitude
14,RefuseFailToAttendTherapy,->,Violence
15,CannabisAfterRelease,->,CannabisDependence
16,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
17,ASPD,->,Violence
18,SocialWithdraw,->,Anxiety
19,BPD,->,Violence
20,CocaineAfterRelease,->,EcstasyAfterRelease
21,Anxiety,->,ResponsivenessToTreatment
22,CocaineAfterRelease,->,CriminalAttitude
23,Depression,->,ResponsivenessToTreatment
24,Impulsivity,->,Violence
25,EcstasyAfterRelease,->,CriminalAttitude
26,GangMember,->,CriminalAttitude
27,EcstasyDependence,->,CriminalAttitude
28,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
29,LivingCircumstances,->,CriminalAttitude
30,BPD,->,ASPD
31,CocaineAfterRelease,->,Anxiety
32,CriminalFamilyBackground,->,CriminalAttitude
33,CriminalNetwork,->,CriminalFamilyBackground
34,pclrscore,->,Violence
35,CannabisAfterRelease,->,Depression
36,CannabisDependence,->,CriminalAttitude
37,prioracq,->,Gender
38,HazardousDrinkingAfterRelease,->,AlcoholDependence
39,EcstasyAfterRelease,->,Anxiety
40,CocaineDependence,->,CriminalAttitude
41,Anger,->,Stress
42,BPD,->,SymptomsOfMentalIllness
43,PCLRfactor1,->,Violence
44,LivingCircumstances,->,Anxiety
45,CriminalFamilyBackground,->,GangMember
46,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
47,PCLRfacet3,->,PCLRfactor2
48,SymptomsOfMentalIllness,->,Hallucinations
49,ParanoidDelusions,->,ThoughtInsertion
50,LivingCircumstances,->,DomesticStability
51,PCLRfactor2,->,Violence
52,SocialWithdraw,->,Depression
53,ParanoidDelusions,->,Victimisation
54,EcstasyBeforePrisonSentence,->,CannabisBeforePrisonSentence
55,CannabisAfterRelease,->,CriminalAttitude
56,ComplianceWithSupervision,->,ResponsivenessToTreatment
57,NegativeAttitude,->,ComplianceWithSupervision
58,EcstasyAfterRelease,->,EcstasyDependence
59,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
60,PriorViolentConvictions,->,Violence
