ID,Variable 1,Dependency,Variable 2
1,PCLRfacet3,->,PCLRfactor2
2,ParanoidDelusions,->,Victimisation
3,pclrscore,->,PCLRfactor1
4,Anxiety,->,ParanoidDelusions
5,ParanoidDelusions,->,StrangeExperiences
6,CocaineDuringPrisonSentence,->,CannabisDuringPrisonSentence
7,LivingCircumstances,->,DomesticStability
8,Stress,->,Depression
9,EcstasyBeforePrisonSentence,->,CannabisBeforePrisonSentence
10,Anxiety,->,Depression
11,CocaineAfterRelease,->,CocaineDependence
12,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
13,ComplianceWithSupervision,->,NegativeAttitude
14,ResponsivenessToTreatment,->,ComplianceWithSupervision
15,CannabisAfterRelease,->,CannabisDependence
16,prioracq,->,Gender
17,CriminalNetwork,->,CriminalFamilyBackground
18,Depression,->,AbilityToCope
19,Anxiety,->,Anger
20,BPD,->,ASPD
21,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
22,BPD,->,SymptomsOfMentalIllness
23,SymptomsOfMentalIllness,->,Hallucinations
24,ParanoidDelusions,->,ThoughtInsertion
25,CocaineAfterRelease,->,EcstasyAfterRelease
26,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
27,PriorViolentConvictions,->,Violence
28,AbilityToCope,->,FinancialDifficulties
29,CocaineBeforePrisonSentence,->,CocaineAfterRelease
30,PCLRfactor2,->,pclrscore
31,EcstasyAfterRelease,->,EcstasyDependence
32,Depression,->,Anger
33,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
34,HazardousDrinkingAfterRelease,->,AlcoholDependence
35,CannabisBeforePrisonSentence,->,CannabisAfterRelease
36,CriminalFamilyBackground,->,GangMember
37,Stress,->,Anxiety
