ID,Variable 1,Dependency,Variable 2
1,IMM_Measles,->,CHI_Age
2,CUL_LanguageGroup,->,HOU_CookingFuel
3,WSH_ImprovedWaterSource,->,HOU_CookingFuel
4,GEO_Region,->,WSH_ImprovedWaterSource
5,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
6,KNW_WatchTV,->,MTH_Education
7,MTH_MaternalAge,->,MTH_Education
8,HOU_CookingFuel,->,HOU_ModernWallMaterial
9,WSH_WaterTreated,->,HOU_CookingFuel
10,WSH_SafeStoolDisposal,->,FP_BirthsLast5Yrs
11,CHI_Age,->,BF_BreastfedMonths
12,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
13,KNW_WatchTV,->,CUL_Religion
14,IMM_Diptheria,->,IMM_Measles
15,HOU_ModernWallMaterial,->,BF_EarlyBreastfeeding
16,BF_EarlyBreastfeeding,->,BF_BreastfedMonths
17,BF_EarlyBreastfeeding,->,IMM_VitaminA1
18,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
19,CUL_Religion,->,WSH_ImprovedWaterSource
20,CUL_Religion,->,WSH_ImprovedToilet
21,GEO_Region,->,WSH_WaterTreated
22,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
23,GEO_Region,->,HOU_ModernWallMaterial
24,CHI_Age,->,WSH_SafeStoolDisposal
25,BF_BottleFeeding,->,BF_EarlyBreastfeeding
26,FP_BirthsLast5Yrs,->,MTH_MaternalAge
27,IMM_VitaminA1,->,IMM_Diptheria
28,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
29,ECO_WealthQuintile,->,WSH_ImprovedToilet
30,CUL_LanguageGroup,->,CUL_Religion
31,BF_BottleFeeding,->,CHI_Age
32,KNW_WatchTV,->,SRV_Near
33,SRV_Near,->,SRV_OKAlone
34,BF_BreastfedMonths,->,FP_ModernMethod
35,BF_BottleFeeding,->,BF_BreastfedMonths
36,CHI_Age,->,FP_BirthsLast5Yrs
37,IMM_VitaminA1,->,IMM_Measles
38,CUL_LanguageGroup,->,GEO_Region
39,WSH_WaterTreated,->,WSH_ImprovedWaterSource
40,CHI_Age,->,MTH_MaternalAge
41,CUL_Religion,->,HOU_ModernWallMaterial
