ID,Variable 1,Dependency,Variable 2
1,PriorViolentConvictions,->,Violence
2,CannabisBeforePrisonSentence,->,CannabisAfterRelease
3,ParanoidDelusions,->,ThoughtInsertion
4,CocaineBeforePrisonSentence,->,CocaineAfterRelease
5,CocaineDuringPrisonSentence,->,CannabisDuringPrisonSentence
6,ParanoidDelusions,->,StrangeExperiences
7,Stress,->,Anxiety
8,LivingCircumstances,->,DomesticStability
9,ComplianceWithSupervision,->,ResponsivenessToTreatment
10,HazardousDrinkingAfterRelease,->,AlcoholDependence
11,ParanoidDelusions,->,Victimisation
12,prioracq,->,Gender
13,Anxiety,->,Anger
14,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
15,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
16,CannabisAfterRelease,->,CannabisDependence
17,Anxiety,->,ParanoidDelusions
18,Stress,->,Depression
19,pclrscore,->,PCLRfactor1
20,EcstasyBeforePrisonSentence,->,CannabisBeforePrisonSentence
21,BPD,->,SymptomsOfMentalIllness
22,SymptomsOfMentalIllness,->,Hallucinations
23,AbilityToCope,->,FinancialDifficulties
24,Depression,->,AbilityToCope
25,CriminalNetwork,->,CriminalFamilyBackground
26,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
27,Anxiety,->,Depression
28,BPD,->,ASPD
29,CocaineAfterRelease,->,EcstasyAfterRelease
30,PCLRfactor2,->,pclrscore
31,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
32,CocaineAfterRelease,->,CocaineDependence
33,EcstasyAfterRelease,->,EcstasyDependence
34,NegativeAttitude,->,ComplianceWithSupervision
35,Depression,->,Anger
36,CriminalFamilyBackground,->,GangMember
37,PCLRfacet3,->,PCLRfactor2
