ID,Variable 1,Dependency,Variable 2
1,AbilityToCope,->,CocaineDependence
2,AbilityToCope,->,Depression
3,AbilityToCope,->,FinancialDifficulties
4,AbuseNeglectAsChild,->,Age
5,Age,->,LivingCircumstances
6,AlcoholDependence,->,CocaineDependence
7,AlcoholDependence,->,HazardousDrinkingAfterRelease
8,Anxiety,->,Anger
9,Anxiety,->,Stress
10,CannabisAfterRelease,->,CannabisBeforePrisonSentence
11,CannabisAfterRelease,->,CannabisDuringPrisonSentence
12,CannabisAfterRelease,->,CriminalAttitude
13,CannabisBeforePrisonSentence,->,Age
14,CannabisBeforePrisonSentence,->,CocaineBeforePrisonSentence
15,CannabisDependence,->,CannabisDuringPrisonSentence
16,CocaineAfterRelease,->,CocaineBeforePrisonSentence
17,CocaineAfterRelease,->,CriminalAttitude
18,CocaineAfterRelease,->,ViolentThoughts
19,CocaineDuringPrisonSentence,->,CannabisDuringPrisonSentence
20,CocaineDuringPrisonSentence,->,CocaineBeforePrisonSentence
21,CocaineDuringPrisonSentence,-,EcstasyDuringPrisonSentence
22,ComplianceWithSupervision,->,NegativeAttitude
23,ComplianceWithSupervision,->,ResponsivenessToTreatment
24,CriminalFamilyBackground,->,CriminalAttitude
25,Depression,->,Anger
26,Depression,->,Stress
27,DomesticStability,->,FinancialDifficulties
28,DomesticStability,->,LivingCircumstances
29,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
30,EcstasyBeforePrisonSentence,->,CannabisBeforePrisonSentence
31,EcstasyBeforePrisonSentence,->,CannabisDuringPrisonSentence
32,EcstasyBeforePrisonSentence,->,CocaineBeforePrisonSentence
33,EcstasyDependence,->,AbuseNeglectAsChild
34,EcstasyDuringPrisonSentence,->,CannabisDuringPrisonSentence
35,EmploymentOrTraining,->,Depression
36,EmploymentOrTraining,->,Education
37,Gender,->,prioracq
38,Hallucinations,->,EcstasyBeforePrisonSentence
39,HazardousDrinkingAfterRelease,->,EcstasyAfterRelease
40,Intelligence,->,Education
41,PCLRfactor1,->,NegativeAttitude
42,PCLRfactor2,->,Violence
43,PCLRfactor2,->,prioracq
44,ParanoidDelusions,->,Anxiety
45,ParanoidDelusions,->,StrangeExperiences
46,ParanoidDelusions,->,ViolentThoughts
47,PriorViolentConvictions,->,Violence
48,PriorViolentConvictions,->,prioracq
49,StrangeExperiences,->,Anxiety
50,SymptomsOfMentalIllness,->,AbuseNeglectAsChild
51,SymptomsOfMentalIllness,->,Anxiety
52,Hallucinations,-,SymptomsOfMentalIllness
53,SymptomsOfMentalIllness,->,ResponsivenessToTreatment
54,ThoughtInsertion,->,ParanoidDelusions
55,Victimisation,->,ParanoidDelusions
56,Violence,->,HazardousDrinkingAfterRelease
57,pclrscore,->,NegativeAttitude
58,pclrscore,->,ResponsivenessToTreatment
