ID,Variable 1,Dependency,Variable 2
1,Lockdown,->,New_infections
2,Lockdown,->,Work_and_school_activity
3,Majority_COVID_19_variant,->,New_infections
4,New_infections,->,Hospital_admissions
5,Patients_in_hospital,->,Hospital_admissions
6,Deaths_with_COVID_on_certificate,->,Excess_mortality
7,Transportation_activity,-,Work_and_school_activity
8,Majority_COVID_19_variant,-,Tests_across_all_4_Pillars
9,Season,->,New_infections
10,Lockdown,->,Leisure_activity
11,Second_dose_uptake,->,Hospital_admissions
12,New_infections,->,Patients_in_hospital
13,Majority_COVID_19_variant,-,Season
14,Second_dose_uptake,->,New_infections
15,Face_masks,->,New_infections
16,Tests_across_all_4_Pillars,->,Positive_tests
17,Lockdown,->,Transportation_activity
