ID,Variable 1,Dependency,Variable 2
1,PriorViolentConvictions,->,Violence
2,CannabisBeforePrisonSentence,->,CocaineBeforePrisonSentence
3,CannabisAfterRelease,-,CannabisDependence
4,EcstasyBeforePrisonSentence,->,CocaineBeforePrisonSentence
5,Stress,->,Anger
6,GangMember,->,CriminalAttitude
7,PCLRfactor2,->,Violence
8,CannabisDuringPrisonSentence,-,CocaineDuringPrisonSentence
9,CannabisDuringPrisonSentence,-,EcstasyDuringPrisonSentence
10,DomesticStability,-,LivingCircumstances
11,ASPD,->,BPD
12,PCLRfacet3,->,Violence
13,EcstasyDependence,->,EcstasyAfterRelease
14,PCLRfacet3,-,PCLRfactor2
15,CocaineAfterRelease,->,CocaineBeforePrisonSentence
16,CocaineDuringPrisonSentence,-,EcstasyDuringPrisonSentence
17,CriminalFamilyBackground,->,CriminalAttitude
18,Anxiety,->,ParanoidDelusions
19,AlcoholDependence,-,HazardousDrinkingAfterRelease
20,CriminalAttitude,->,Anger
21,ComplianceWithSupervision,-,ResponsivenessToTreatment
22,Depression,->,Anxiety
23,ParanoidDelusions,->,ThoughtInsertion
24,PCLRfactor1,->,Violence
25,AbilityToCope,->,FinancialDifficulties
26,SymptomsOfMentalIllness,->,BPD
27,Victimisation,->,FinancialDifficulties
28,Depression,->,Anger
29,Depression,-,Stress
30,CriminalFamilyBackground,-,CriminalNetwork
31,Gender,-,prioracq
32,Anger,->,Anxiety
33,Hallucinations,-,SymptomsOfMentalIllness
34,ViolentThoughts,->,CriminalAttitude
35,CocaineAfterRelease,-,CocaineDependence
36,Education,-,Intelligence
37,Impulsivity,->,Violence
38,Stress,->,Anxiety
39,CocaineAfterRelease,->,EcstasyAfterRelease
