ID,Variable 1,Dependency,Variable 2
1,Depression,-,Stress
2,CocaineAfterRelease,->,EcstasyAfterRelease
3,CannabisDuringPrisonSentence,-,CocaineDuringPrisonSentence
4,CriminalAttitude,->,Anger
5,Gender,-,prioracq
6,Victimisation,->,FinancialDifficulties
7,ComplianceWithSupervision,-,ResponsivenessToTreatment
8,SymptomsOfMentalIllness,->,BPD
9,ParanoidDelusions,->,ThoughtInsertion
10,AlcoholDependence,-,HazardousDrinkingAfterRelease
11,CriminalAttitude,-,ViolentThoughts
12,CocaineDuringPrisonSentence,-,EcstasyDuringPrisonSentence
13,CannabisAfterRelease,-,CannabisDependence
14,Hallucinations,-,SymptomsOfMentalIllness
15,ASPD,->,BPD
16,EcstasyDependence,->,EcstasyAfterRelease
17,AbilityToCope,->,FinancialDifficulties
18,CocaineAfterRelease,-,CocaineDependence
19,Anger,->,Anxiety
20,Anxiety,->,ParanoidDelusions
21,LivingCircumstances,->,DomesticStability
22,Stress,->,Anger
23,Depression,->,Anger
24,Violence,->,DomesticStability
25,CriminalFamilyBackground,-,CriminalNetwork
26,CannabisBeforePrisonSentence,->,CocaineBeforePrisonSentence
27,Education,-,Intelligence
28,EcstasyBeforePrisonSentence,->,CocaineBeforePrisonSentence
29,CannabisDuringPrisonSentence,-,EcstasyDuringPrisonSentence
30,PCLRfacet3,-,PCLRfactor2
31,CocaineAfterRelease,->,CocaineBeforePrisonSentence
32,Stress,->,Anxiety
33,Depression,->,Anxiety
