ID,Variable 1,Dependency,Variable 2
1,CocaineAfterRelease,->,CocaineBeforePrisonSentence
2,AlcoholDependence,-,HazardousDrinkingAfterRelease
3,Depression,-,Stress
4,Education,-,Intelligence
5,Stress,->,Anger
6,CannabisDuringPrisonSentence,-,CocaineDuringPrisonSentence
7,CocaineAfterRelease,->,EcstasyAfterRelease
8,Violence,->,DomesticStability
9,Anxiety,->,ParanoidDelusions
10,Depression,->,Anger
11,Hallucinations,-,SymptomsOfMentalIllness
12,Stress,->,Anxiety
13,LivingCircumstances,->,DomesticStability
14,ASPD,->,BPD
15,Depression,->,Anxiety
16,CriminalAttitude,->,Anger
17,CocaineDuringPrisonSentence,-,EcstasyDuringPrisonSentence
18,CriminalAttitude,-,ViolentThoughts
19,Anger,->,Anxiety
20,CannabisDuringPrisonSentence,-,EcstasyDuringPrisonSentence
21,Gender,-,prioracq
22,CannabisBeforePrisonSentence,->,CocaineBeforePrisonSentence
23,EcstasyDependence,->,EcstasyAfterRelease
24,PCLRfacet3,-,PCLRfactor2
25,CannabisAfterRelease,-,CannabisDependence
26,CriminalFamilyBackground,-,CriminalNetwork
27,ComplianceWithSupervision,-,ResponsivenessToTreatment
28,Victimisation,->,FinancialDifficulties
29,EcstasyBeforePrisonSentence,->,CocaineBeforePrisonSentence
30,SymptomsOfMentalIllness,->,BPD
31,CocaineAfterRelease,-,CocaineDependence
32,AbilityToCope,->,FinancialDifficulties
33,ParanoidDelusions,->,ThoughtInsertion
