Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Summer,Very High,High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Summer,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Spring,Very Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Very Low,Very Low,Spring,Low,High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Very Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
