ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BottleFeeding,->,DIA_HadDiarrhoea
3,BF_BottleFeeding,->,WSH_WashWithAgent
4,BF_EarlyBreastfeeding,->,GEO_Region
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,IMM_Measles
7,CHI_Age,->,MTH_MaternalAge
8,CUL_LanguageGroup,->,CUL_Religion
9,CUL_LanguageGroup,->,HOU_ModernWallMaterial
10,CUL_Religion,->,WSH_ImprovedToilet
11,DEL_SmallBaby,->,CHI_Weight4Height
12,DIA_HadDiarrhoea,->,DEL_SmallBaby
13,ECO_WealthQuintile,->,WSH_ImprovedToilet
14,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
15,FP_BirthsLast5Yrs,->,MTH_MaternalAge
16,FP_ModernMethod,->,DEL_SmallBaby
17,GEO_Region,->,CUL_LanguageGroup
18,GEO_Region,->,WSH_WaterTreated
19,HOU_CookingFuel,->,WSH_ImprovedWaterSource
20,HOU_ModernWallMaterial,->,CUL_Religion
21,HOU_ModernWallMaterial,->,HOU_CookingFuel
22,IMM_Diptheria,->,BF_BreastfedMonths
23,IMM_Diptheria,->,IMM_VitaminA1
24,IMM_Measles,->,IMM_Diptheria
25,IMM_Measles,->,IMM_VitaminA1
26,IMM_VitaminA1,->,BF_EarlyBreastfeeding
27,KNW_WatchTV,->,ECO_WealthQuintile
28,KNW_WatchTV,->,MTH_Education
29,MTH_Education,->,ECO_WealthQuintile
30,MTH_Education,->,SRV_Near
31,MTH_MaternalAge,->,FP_ModernMethod
32,SRV_Near,->,SRV_OKAlone
33,SRV_Near,->,WSH_WashWithAgent
34,SRV_OKAlone,->,DIA_HadDiarrhoea
35,SRV_OKAlone,->,FP_ModernMethod
36,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
37,WSH_ImprovedWaterSource,->,KNW_WatchTV
38,WSH_SafeStoolDisposal,->,FP_BirthsLast5Yrs
39,WSH_SafeStoolDisposal,->,WSH_WashWithAgent
40,WSH_WaterTreated,->,HOU_CookingFuel
41,WSH_WaterTreated,->,WSH_ImprovedWaterSource
