ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,CHI_Weight4Height
2,BF_BottleFeeding,->,DIA_HadDiarrhoea
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,CHI_Age,->,BF_BreastfedMonths
5,CHI_Age,->,MTH_MaternalAge
6,CHI_Age,->,WSH_SafeStoolDisposal
7,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
8,CUL_LanguageGroup,->,GEO_Region
9,CUL_LanguageGroup,->,HOU_ModernWallMaterial
10,CUL_Religion,->,CUL_LanguageGroup
11,CUL_Religion,->,HOU_ModernWallMaterial
12,CUL_Religion,->,WSH_ImprovedToilet
13,CUL_Religion,->,WSH_ImprovedWaterSource
14,DEL_SmallBaby,->,CHI_Weight4Height
15,DIA_HadDiarrhoea,->,DEL_SmallBaby
16,ECO_WealthQuintile,->,KNW_WatchTV
17,ECO_WealthQuintile,->,MTH_Education
18,ECO_WealthQuintile,->,WSH_WashWithAgent
19,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
20,FP_BirthsLast5Yrs,->,MTH_MaternalAge
21,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
22,GEO_Region,->,BF_EarlyBreastfeeding
23,GEO_Region,->,WSH_ImprovedToilet
24,GEO_Region,->,WSH_WaterTreated
25,HOU_CookingFuel,->,FP_ModernMethod
26,HOU_CookingFuel,->,HOU_ModernWallMaterial
27,HOU_ModernWallMaterial,->,WSH_WashWithAgent
28,IMM_Diptheria,->,BF_BreastfedMonths
29,IMM_Diptheria,->,IMM_Measles
30,IMM_Diptheria,->,IMM_VitaminA1
31,IMM_Measles,->,CHI_Age
32,IMM_Measles,->,FP_ModernMethod
33,IMM_VitaminA1,->,BF_EarlyBreastfeeding
34,IMM_VitaminA1,->,CHI_Weight4Height
35,IMM_VitaminA1,->,IMM_Measles
36,KNW_WatchTV,->,MTH_Education
37,KNW_WatchTV,->,SRV_Near
38,KNW_WatchTV,->,WSH_ImprovedWaterSource
39,MTH_Education,->,FP_BirthsLast5Yrs
40,MTH_Education,->,WSH_WaterTreated
41,MTH_MaternalAge,->,DIA_HadDiarrhoea
42,MTH_MaternalAge,->,FP_ModernMethod
43,SRV_Near,->,IMM_Diptheria
44,SRV_Near,->,SRV_OKAlone
45,SRV_OKAlone,->,BF_BottleFeeding
46,SRV_OKAlone,->,DEL_SmallBaby
47,SRV_OKAlone,->,DIA_HadDiarrhoea
48,WSH_ImprovedToilet,->,ECO_WealthQuintile
49,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
50,WSH_ImprovedWaterSource,->,HOU_CookingFuel
51,WSH_SafeStoolDisposal,->,FP_ModernMethod
52,WSH_WashWithAgent,->,BF_BottleFeeding
53,WSH_WashWithAgent,->,SRV_Near
54,WSH_WaterTreated,->,HOU_CookingFuel
55,WSH_WaterTreated,->,WSH_ImprovedWaterSource
