ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BreastfedMonths,->,CHI_Age
3,BF_BreastfedMonths,->,CUL_Religion
4,BF_BreastfedMonths,->,DIA_HadDiarrhoea
5,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
6,BF_EarlyBreastfeeding,->,CUL_LanguageGroup
7,BF_EarlyBreastfeeding,->,DEL_SmallBaby
8,CHI_Age,->,DIA_HadDiarrhoea
9,CHI_Age,->,IMM_Measles
10,CHI_Weight4Height,->,CHI_Age
11,CHI_Weight4Height,->,CUL_LanguageGroup
12,CHI_Weight4Height,->,CUL_Religion
13,CHI_Weight4Height,->,DEL_SmallBaby
14,CUL_Religion,->,BF_EarlyBreastfeeding
15,CUL_Religion,->,CUL_LanguageGroup
16,CUL_Religion,->,DIA_HadDiarrhoea
17,DEL_SmallBaby,->,CUL_LanguageGroup
18,ECO_WealthQuintile,->,CUL_LanguageGroup
19,ECO_WealthQuintile,->,CUL_Religion
20,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
21,FP_BirthsLast5Yrs,->,CHI_Age
22,GEO_Region,->,BF_EarlyBreastfeeding
23,GEO_Region,->,CUL_LanguageGroup
24,GEO_Region,->,WSH_ImprovedWaterSource
25,IMM_Diptheria,->,IMM_Measles
26,IMM_VitaminA1,->,IMM_Measles
27,KNW_WatchTV,->,CUL_Religion
28,KNW_WatchTV,->,ECO_WealthQuintile
29,KNW_WatchTV,->,MTH_Education
30,SRV_OKAlone,->,SRV_Near
31,WSH_ImprovedToilet,->,ECO_WealthQuintile
