ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
5,BF_BreastfedMonths,->,IMM_Diptheria
6,CHI_Age,->,BF_BreastfedMonths
7,CHI_Age,->,BF_EarlyBreastfeeding
8,CHI_Age,->,FP_BirthsLast5Yrs
9,CHI_Age,->,FP_ModernMethod
10,CHI_Age,->,IMM_Diptheria
11,CHI_Age,->,IMM_Measles
12,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
13,CUL_LanguageGroup,->,CUL_Religion
14,CUL_Religion,->,CHI_Weight4Height
15,ECO_WealthQuintile,->,CUL_LanguageGroup
16,FP_BirthsLast5Yrs,->,ECO_WealthQuintile
17,FP_ModernMethod,->,CUL_Religion
18,FP_ModernMethod,->,FP_BirthsLast5Yrs
19,GEO_Region,->,BF_EarlyBreastfeeding
20,GEO_Region,->,CUL_LanguageGroup
21,GEO_Region,->,CUL_Religion
22,GEO_Region,->,HOU_CookingFuel
23,GEO_Region,->,WSH_ImprovedWaterSource
24,HOU_CookingFuel,->,ECO_WealthQuintile
25,HOU_ModernWallMaterial,->,CUL_Religion
26,HOU_ModernWallMaterial,->,HOU_CookingFuel
27,IMM_Measles,->,IMM_Diptheria
28,IMM_VitaminA1,->,BF_EarlyBreastfeeding
29,IMM_VitaminA1,->,IMM_Diptheria
30,KNW_WatchTV,->,ECO_WealthQuintile
31,KNW_WatchTV,->,FP_ModernMethod
32,MTH_Education,->,KNW_WatchTV
33,MTH_MaternalAge,->,FP_BirthsLast5Yrs
34,MTH_MaternalAge,->,FP_ModernMethod
35,MTH_MaternalAge,->,MTH_Education
36,SRV_Near,->,KNW_WatchTV
37,SRV_Near,->,SRV_OKAlone
38,WSH_ImprovedToilet,->,CHI_Weight4Height
39,WSH_ImprovedToilet,->,ECO_WealthQuintile
40,WSH_ImprovedWaterSource,->,CUL_LanguageGroup
41,WSH_ImprovedWaterSource,->,CUL_Religion
42,WSH_ImprovedWaterSource,->,HOU_CookingFuel
43,WSH_WaterTreated,->,HOU_CookingFuel
44,WSH_WaterTreated,->,WSH_ImprovedWaterSource
