ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
5,CHI_Age,->,BF_BottleFeeding
6,CHI_Age,->,BF_BreastfedMonths
7,CHI_Age,->,FP_BirthsLast5Yrs
8,CHI_Age,->,IMM_Measles
9,CHI_Age,->,WSH_SafeStoolDisposal
10,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
11,CUL_LanguageGroup,->,CUL_Religion
12,CUL_LanguageGroup,->,GEO_Region
13,CUL_LanguageGroup,->,HOU_CookingFuel
14,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
15,CUL_Religion,->,HOU_ModernWallMaterial
16,CUL_Religion,->,WSH_ImprovedToilet
17,CUL_Religion,->,WSH_ImprovedWaterSource
18,ECO_WealthQuintile,->,WSH_ImprovedToilet
19,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
20,FP_ModernMethod,->,BF_BreastfedMonths
21,GEO_Region,->,HOU_ModernWallMaterial
22,GEO_Region,->,WSH_ImprovedWaterSource
23,GEO_Region,->,WSH_WaterTreated
24,HOU_CookingFuel,->,HOU_ModernWallMaterial
25,HOU_ModernWallMaterial,->,BF_EarlyBreastfeeding
26,IMM_Diptheria,->,BF_BreastfedMonths
27,IMM_Diptheria,->,IMM_VitaminA1
28,IMM_Measles,->,IMM_Diptheria
29,IMM_Measles,->,IMM_VitaminA1
30,IMM_VitaminA1,->,BF_EarlyBreastfeeding
31,KNW_WatchTV,->,CUL_Religion
32,KNW_WatchTV,->,MTH_Education
33,KNW_WatchTV,->,SRV_Near
34,MTH_MaternalAge,->,CHI_Age
35,MTH_MaternalAge,->,FP_BirthsLast5Yrs
36,MTH_MaternalAge,->,MTH_Education
37,SRV_Near,->,SRV_OKAlone
38,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
39,WSH_ImprovedWaterSource,->,HOU_CookingFuel
40,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
41,WSH_ImprovedWaterSource,->,WSH_WaterTreated
42,WSH_WaterTreated,->,HOU_CookingFuel
