ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,CHI_Age
3,BF_BreastfedMonths,->,CHI_Age
4,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
5,BF_BreastfedMonths,->,FP_ModernMethod
6,BF_BreastfedMonths,->,MTH_MaternalAge
7,BF_EarlyBreastfeeding,->,IMM_VitaminA1
8,CHI_Age,->,FP_BirthsLast5Yrs
9,CHI_Age,->,FP_ModernMethod
10,CHI_Age,->,IMM_Measles
11,CHI_Age,->,MTH_MaternalAge
12,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
13,CUL_LanguageGroup,->,CUL_Religion
14,CUL_LanguageGroup,->,GEO_Region
15,CUL_LanguageGroup,->,HOU_CookingFuel
16,CUL_Religion,->,HOU_ModernWallMaterial
17,CUL_Religion,->,WSH_ImprovedToilet
18,ECO_WealthQuintile,->,WSH_ImprovedToilet
19,GEO_Region,->,BF_EarlyBreastfeeding
20,GEO_Region,->,WSH_ImprovedWaterSource
21,HOU_CookingFuel,->,CUL_Religion
22,HOU_CookingFuel,->,HOU_ModernWallMaterial
23,HOU_CookingFuel,->,WSH_ImprovedWaterSource
24,IMM_Diptheria,->,BF_BreastfedMonths
25,IMM_Diptheria,->,CHI_Age
26,IMM_Diptheria,->,IMM_Measles
27,IMM_VitaminA1,->,IMM_Diptheria
28,KNW_WatchTV,->,CUL_Religion
29,KNW_WatchTV,->,MTH_Education
30,SRV_Near,->,SRV_OKAlone
31,WSH_ImprovedWaterSource,->,WSH_WaterTreated
