ID,Variable 1,Dependency,Variable 2
1,BF_EarlyBreastfeeding,->,CUL_LanguageGroup
2,BF_EarlyBreastfeeding,->,GEO_Region
3,CHI_Age,->,BF_BreastfedMonths
4,CHI_Age,->,IMM_Measles
5,CHI_Weight4Height,->,CHI_Age
6,CHI_Weight4Height,->,WSH_ImprovedToilet
7,CUL_LanguageGroup,->,GEO_Region
8,CUL_Religion,->,CUL_LanguageGroup
9,CUL_Religion,->,IMM_Measles
10,CUL_Religion,->,WSH_ImprovedToilet
11,DEL_SmallBaby,->,BF_EarlyBreastfeeding
12,DEL_SmallBaby,->,CHI_Weight4Height
13,DIA_HadDiarrhoea,->,GEO_Region
14,ECO_WealthQuintile,->,KNW_WatchTV
15,ECO_WealthQuintile,->,MTH_Education
16,ECO_WealthQuintile,->,WSH_ImprovedToilet
17,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
18,ECO_WealthQuintile,->,SRV_Near
19,ECO_WealthQuintile,->,BF_BottleFeeding
20,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
21,HOU_CookingFuel,->,WSH_ImprovedWaterSource
22,HOU_CookingFuel,->,WSH_WaterTreated
23,HOU_ModernWallMaterial,->,CUL_LanguageGroup
24,HOU_ModernWallMaterial,->,GEO_Region
25,IMM_Diptheria,->,IMM_Measles
26,IMM_Measles,->,IMM_VitaminA1
27,IMM_Measles,->,FP_ModernMethod
28,MTH_MaternalAge,->,CHI_Age
29,MTH_MaternalAge,->,MTH_Education
30,SRV_OKAlone,->,SRV_Near
31,WSH_ImprovedToilet,->,GEO_Region
32,WSH_ImprovedWaterSource,->,CUL_LanguageGroup
33,WSH_ImprovedWaterSource,->,GEO_Region
34,WSH_ImprovedWaterSource,->,WSH_WaterTreated
35,WSH_SafeStoolDisposal,->,ECO_WealthQuintile
36,WSH_WashWithAgent,->,ECO_WealthQuintile
37,WSH_WaterTreated,->,CUL_LanguageGroup
38,WSH_WaterTreated,->,GEO_Region
