ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,DIA_HadDiarrhoea
5,CHI_Age,->,BF_BottleFeeding
6,CHI_Age,->,BF_BreastfedMonths
7,CHI_Age,->,CHI_Weight4Height
8,CHI_Age,->,DIA_HadDiarrhoea
9,CHI_Age,->,IMM_Diptheria
10,CHI_Age,->,IMM_Measles
11,CHI_Age,->,IMM_VitaminA1
12,CHI_Age,->,WSH_SafeStoolDisposal
13,CUL_LanguageGroup,->,BF_BottleFeeding
14,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
15,CUL_LanguageGroup,->,ECO_WealthQuintile
16,CUL_LanguageGroup,->,FP_BirthsLast5Yrs
17,CUL_LanguageGroup,->,FP_ModernMethod
18,CUL_LanguageGroup,->,HOU_CookingFuel
19,CUL_LanguageGroup,->,HOU_ModernWallMaterial
20,CUL_LanguageGroup,->,KNW_WatchTV
21,CUL_LanguageGroup,->,MTH_Education
22,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
23,CUL_LanguageGroup,->,WSH_WashWithAgent
24,CUL_LanguageGroup,->,WSH_WaterTreated
25,CUL_Religion,->,CUL_LanguageGroup
26,CUL_Religion,->,ECO_WealthQuintile
27,CUL_Religion,->,FP_ModernMethod
28,CUL_Religion,->,HOU_CookingFuel
29,CUL_Religion,->,HOU_ModernWallMaterial
30,CUL_Religion,->,IMM_Measles
31,CUL_Religion,->,KNW_WatchTV
32,CUL_Religion,->,MTH_Education
33,CUL_Religion,->,SRV_Near
34,CUL_Religion,->,SRV_OKAlone
35,CUL_Religion,->,WSH_ImprovedToilet
36,CUL_Religion,->,WSH_ImprovedWaterSource
37,CUL_Religion,->,WSH_WaterTreated
38,ECO_WealthQuintile,->,BF_BottleFeeding
39,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
40,ECO_WealthQuintile,->,HOU_CookingFuel
41,ECO_WealthQuintile,->,HOU_ModernWallMaterial
42,ECO_WealthQuintile,->,KNW_WatchTV
43,ECO_WealthQuintile,->,MTH_Education
44,ECO_WealthQuintile,->,SRV_Near
45,ECO_WealthQuintile,->,WSH_ImprovedToilet
