ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BottleFeeding,->,CHI_Weight4Height
3,BF_BottleFeeding,->,DIA_HadDiarrhoea
4,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,IMM_Measles
7,CHI_Age,->,WSH_SafeStoolDisposal
8,CUL_LanguageGroup,->,CUL_Religion
9,CUL_LanguageGroup,->,HOU_CookingFuel
10,CUL_LanguageGroup,->,HOU_ModernWallMaterial
11,CUL_Religion,->,HOU_ModernWallMaterial
12,CUL_Religion,->,WSH_ImprovedToilet
13,CUL_Religion,->,WSH_ImprovedWaterSource
14,DEL_SmallBaby,->,CHI_Weight4Height
15,DEL_SmallBaby,->,DIA_HadDiarrhoea
16,ECO_WealthQuintile,->,KNW_WatchTV
17,ECO_WealthQuintile,->,MTH_Education
18,ECO_WealthQuintile,->,WSH_ImprovedToilet
19,ECO_WealthQuintile,->,WSH_WashWithAgent
20,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
21,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
22,FP_ModernMethod,->,FP_BirthsLast5Yrs
23,FP_ModernMethod,->,IMM_Measles
24,GEO_Region,->,BF_EarlyBreastfeeding
25,GEO_Region,->,CUL_LanguageGroup
26,GEO_Region,->,WSH_ImprovedToilet
27,GEO_Region,->,WSH_WaterTreated
28,HOU_CookingFuel,->,HOU_ModernWallMaterial
29,HOU_CookingFuel,->,WSH_ImprovedWaterSource
30,HOU_CookingFuel,->,WSH_WaterTreated
31,HOU_ModernWallMaterial,->,WSH_WashWithAgent
32,IMM_Diptheria,->,BF_BreastfedMonths
33,IMM_Diptheria,->,CHI_Weight4Height
34,IMM_Measles,->,IMM_Diptheria
35,IMM_Measles,->,IMM_VitaminA1
36,IMM_VitaminA1,->,BF_EarlyBreastfeeding
37,IMM_VitaminA1,->,IMM_Diptheria
38,KNW_WatchTV,->,MTH_Education
39,KNW_WatchTV,->,SRV_Near
40,KNW_WatchTV,->,WSH_ImprovedWaterSource
41,MTH_Education,->,FP_BirthsLast5Yrs
42,MTH_Education,->,WSH_WaterTreated
43,MTH_MaternalAge,->,CHI_Age
44,MTH_MaternalAge,->,DEL_SmallBaby
45,MTH_MaternalAge,->,DIA_HadDiarrhoea
46,MTH_MaternalAge,->,FP_ModernMethod
47,SRV_Near,->,FP_ModernMethod
48,SRV_Near,->,IMM_VitaminA1
49,SRV_Near,->,SRV_OKAlone
50,SRV_OKAlone,->,DEL_SmallBaby
51,SRV_OKAlone,->,DIA_HadDiarrhoea
52,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
53,WSH_SafeStoolDisposal,->,WSH_WashWithAgent
54,WSH_WashWithAgent,->,BF_BottleFeeding
55,WSH_WaterTreated,->,WSH_ImprovedWaterSource
