ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BreastfedMonths,->,DIA_HadDiarrhoea
3,CHI_Age,->,BF_BreastfedMonths
4,CHI_Age,->,CHI_Weight4Height
5,CHI_Age,->,DIA_HadDiarrhoea
6,CHI_Age,->,IMM_Measles
7,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
8,CUL_LanguageGroup,->,CHI_Weight4Height
9,CUL_LanguageGroup,->,DEL_SmallBaby
10,CUL_LanguageGroup,->,ECO_WealthQuintile
11,CUL_Religion,->,BF_BreastfedMonths
12,CUL_Religion,->,BF_EarlyBreastfeeding
13,CUL_Religion,->,CHI_Weight4Height
14,CUL_Religion,->,CUL_LanguageGroup
15,CUL_Religion,->,DIA_HadDiarrhoea
16,CUL_Religion,->,ECO_WealthQuintile
17,CUL_Religion,->,KNW_WatchTV
18,DEL_SmallBaby,->,BF_EarlyBreastfeeding
19,DEL_SmallBaby,->,CHI_Weight4Height
20,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
21,ECO_WealthQuintile,->,KNW_WatchTV
22,ECO_WealthQuintile,->,WSH_ImprovedToilet
23,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
24,FP_BirthsLast5Yrs,->,CHI_Age
25,GEO_Region,->,BF_EarlyBreastfeeding
26,GEO_Region,->,CUL_LanguageGroup
27,GEO_Region,->,WSH_ImprovedWaterSource
28,IMM_Diptheria,->,IMM_Measles
29,IMM_VitaminA1,->,IMM_Measles
30,MTH_Education,->,KNW_WatchTV
31,SRV_OKAlone,->,SRV_Near
