ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,IMM_Diptheria
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,BF_EarlyBreastfeeding
7,CHI_Age,->,IMM_Diptheria
8,CHI_Age,->,IMM_Measles
9,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
10,CUL_LanguageGroup,->,CUL_Religion
11,CUL_LanguageGroup,->,ECO_WealthQuintile
12,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
13,CUL_Religion,->,CHI_Weight4Height
14,CUL_Religion,->,FP_ModernMethod
15,CUL_Religion,->,HOU_ModernWallMaterial
16,CUL_Religion,->,WSH_ImprovedWaterSource
17,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
18,ECO_WealthQuintile,->,HOU_CookingFuel
19,ECO_WealthQuintile,->,KNW_WatchTV
20,ECO_WealthQuintile,->,WSH_ImprovedToilet
21,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
22,FP_BirthsLast5Yrs,->,CHI_Age
23,FP_ModernMethod,->,CHI_Age
24,FP_ModernMethod,->,FP_BirthsLast5Yrs
25,GEO_Region,->,BF_EarlyBreastfeeding
26,GEO_Region,->,CUL_LanguageGroup
27,GEO_Region,->,CUL_Religion
28,GEO_Region,->,HOU_CookingFuel
29,GEO_Region,->,WSH_ImprovedWaterSource
30,HOU_CookingFuel,->,WSH_ImprovedWaterSource
31,HOU_CookingFuel,->,WSH_WaterTreated
32,HOU_ModernWallMaterial,->,HOU_CookingFuel
33,IMM_Measles,->,IMM_Diptheria
34,IMM_VitaminA1,->,BF_EarlyBreastfeeding
35,IMM_VitaminA1,->,IMM_Diptheria
36,KNW_WatchTV,->,FP_ModernMethod
37,KNW_WatchTV,->,SRV_Near
38,MTH_Education,->,KNW_WatchTV
39,MTH_MaternalAge,->,FP_BirthsLast5Yrs
40,MTH_MaternalAge,->,FP_ModernMethod
41,MTH_MaternalAge,->,MTH_Education
42,SRV_OKAlone,->,SRV_Near
43,WSH_ImprovedToilet,->,CHI_Weight4Height
44,WSH_WaterTreated,->,WSH_ImprovedWaterSource
