ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BreastfedMonths,->,BF_BottleFeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,CHI_Age,->,BF_BottleFeeding
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,IMM_Measles
7,CHI_Age,->,WSH_SafeStoolDisposal
8,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
9,CUL_LanguageGroup,->,CUL_Religion
10,CUL_LanguageGroup,->,HOU_CookingFuel
11,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
12,CUL_Religion,->,HOU_ModernWallMaterial
13,CUL_Religion,->,KNW_WatchTV
14,CUL_Religion,->,WSH_ImprovedToilet
15,CUL_Religion,->,WSH_ImprovedWaterSource
16,ECO_WealthQuintile,->,WSH_ImprovedToilet
17,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
18,FP_BirthsLast5Yrs,->,CHI_Age
19,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
20,FP_ModernMethod,->,BF_BreastfedMonths
21,GEO_Region,->,CUL_LanguageGroup
22,GEO_Region,->,HOU_ModernWallMaterial
23,GEO_Region,->,WSH_ImprovedWaterSource
24,GEO_Region,->,WSH_WaterTreated
25,HOU_CookingFuel,->,HOU_ModernWallMaterial
26,HOU_CookingFuel,->,WSH_ImprovedWaterSource
27,HOU_CookingFuel,->,WSH_WaterTreated
28,HOU_ModernWallMaterial,->,BF_EarlyBreastfeeding
29,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
30,IMM_Diptheria,->,BF_BreastfedMonths
31,IMM_Diptheria,->,IMM_VitaminA1
32,IMM_Measles,->,IMM_Diptheria
33,IMM_Measles,->,IMM_VitaminA1
34,IMM_VitaminA1,->,BF_EarlyBreastfeeding
35,KNW_WatchTV,->,MTH_Education
36,KNW_WatchTV,->,SRV_Near
37,MTH_MaternalAge,->,CHI_Age
38,MTH_MaternalAge,->,FP_BirthsLast5Yrs
39,MTH_MaternalAge,->,MTH_Education
40,SRV_Near,->,SRV_OKAlone
41,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
42,WSH_ImprovedWaterSource,->,WSH_WaterTreated
