ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,CHI_Age,->,BF_BottleFeeding
4,CHI_Age,->,BF_BreastfedMonths
5,CHI_Age,->,IMM_Measles
6,CHI_Age,->,WSH_SafeStoolDisposal
7,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
8,CUL_LanguageGroup,->,CUL_Religion
9,CUL_LanguageGroup,->,HOU_CookingFuel
10,CUL_LanguageGroup,->,HOU_ModernWallMaterial
11,CUL_LanguageGroup,->,KNW_WatchTV
12,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
13,CUL_LanguageGroup,->,WSH_WashWithAgent
14,CUL_LanguageGroup,->,WSH_WaterTreated
15,CUL_Religion,->,HOU_CookingFuel
16,CUL_Religion,->,HOU_ModernWallMaterial
17,CUL_Religion,->,KNW_WatchTV
18,CUL_Religion,->,MTH_Education
19,CUL_Religion,->,WSH_ImprovedToilet
20,CUL_Religion,->,WSH_ImprovedWaterSource
21,CUL_Religion,->,WSH_WaterTreated
22,ECO_WealthQuintile,->,HOU_ModernWallMaterial
23,ECO_WealthQuintile,->,KNW_WatchTV
24,ECO_WealthQuintile,->,MTH_Education
25,ECO_WealthQuintile,->,SRV_Near
26,ECO_WealthQuintile,->,WSH_ImprovedToilet
27,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
28,ECO_WealthQuintile,->,WSH_WashWithAgent
29,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
30,FP_BirthsLast5Yrs,->,CHI_Age
31,FP_ModernMethod,->,BF_BreastfedMonths
32,FP_ModernMethod,->,CHI_Age
33,GEO_Region,->,BF_EarlyBreastfeeding
34,GEO_Region,->,CUL_LanguageGroup
35,GEO_Region,->,CUL_Religion
36,GEO_Region,->,HOU_CookingFuel
37,GEO_Region,->,HOU_ModernWallMaterial
38,GEO_Region,->,WSH_ImprovedWaterSource
39,GEO_Region,->,WSH_WaterTreated
40,HOU_CookingFuel,->,WSH_ImprovedWaterSource
41,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
42,IMM_Diptheria,->,BF_BreastfedMonths
43,IMM_Measles,->,IMM_Diptheria
44,IMM_Measles,->,IMM_VitaminA1
45,IMM_VitaminA1,->,BF_EarlyBreastfeeding
46,IMM_VitaminA1,->,IMM_Diptheria
47,KNW_WatchTV,->,MTH_Education
48,MTH_Education,->,WSH_WashWithAgent
49,MTH_MaternalAge,->,CHI_Age
50,MTH_MaternalAge,->,FP_BirthsLast5Yrs
51,MTH_MaternalAge,->,MTH_Education
52,SRV_Near,->,SRV_OKAlone
53,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
54,WSH_WaterTreated,->,WSH_ImprovedWaterSource
