ID,Variable 1,Dependency,Variable 2
1,BF_BreastfedMonths,->,BF_BottleFeeding
2,BF_BreastfedMonths,->,IMM_Diptheria
3,BF_EarlyBreastfeeding,->,IMM_VitaminA1
4,CHI_Age,->,BF_BottleFeeding
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,IMM_Diptheria
7,CHI_Age,->,IMM_Measles
8,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
9,CUL_LanguageGroup,->,CUL_Religion
10,CUL_LanguageGroup,->,HOU_CookingFuel
11,CUL_Religion,->,HOU_CookingFuel
12,CUL_Religion,->,HOU_ModernWallMaterial
13,CUL_Religion,->,KNW_WatchTV
14,CUL_Religion,->,WSH_ImprovedToilet
15,ECO_WealthQuintile,->,WSH_ImprovedToilet
16,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
17,FP_BirthsLast5Yrs,->,CHI_Age
18,FP_ModernMethod,->,BF_BreastfedMonths
19,FP_ModernMethod,->,CHI_Age
20,GEO_Region,->,BF_EarlyBreastfeeding
21,GEO_Region,->,CUL_LanguageGroup
22,GEO_Region,->,WSH_ImprovedWaterSource
23,HOU_CookingFuel,->,HOU_ModernWallMaterial
24,HOU_CookingFuel,->,WSH_ImprovedWaterSource
25,IMM_Diptheria,->,IMM_Measles
26,IMM_Diptheria,->,IMM_VitaminA1
27,KNW_WatchTV,->,MTH_Education
28,MTH_MaternalAge,->,BF_BreastfedMonths
29,MTH_MaternalAge,->,CHI_Age
30,SRV_Near,->,SRV_OKAlone
31,WSH_ImprovedWaterSource,->,WSH_WaterTreated
