ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BottleFeeding,->,CHI_Weight4Height
3,BF_BottleFeeding,->,IMM_Diptheria
4,BF_BottleFeeding,->,WSH_ImprovedToilet
5,BF_BottleFeeding,->,WSH_WashWithAgent
6,BF_BreastfedMonths,->,BF_BottleFeeding
7,CHI_Age,->,BF_BreastfedMonths
8,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
9,CUL_LanguageGroup,->,DEL_SmallBaby
10,CUL_LanguageGroup,->,HOU_CookingFuel
11,CUL_LanguageGroup,->,HOU_ModernWallMaterial
12,CUL_LanguageGroup,->,MTH_Education
13,CUL_LanguageGroup,->,WSH_ImprovedToilet
14,CUL_LanguageGroup,->,CUL_Religion
15,CUL_Religion,->,DEL_SmallBaby
16,CUL_Religion,->,HOU_CookingFuel
17,CUL_Religion,->,IMM_Diptheria
18,ECO_WealthQuintile,->,DEL_SmallBaby
19,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
20,ECO_WealthQuintile,->,HOU_CookingFuel
21,ECO_WealthQuintile,->,HOU_ModernWallMaterial
22,ECO_WealthQuintile,->,KNW_WatchTV
23,ECO_WealthQuintile,->,MTH_Education
24,ECO_WealthQuintile,->,WSH_ImprovedToilet
25,ECO_WealthQuintile,->,WSH_WashWithAgent
26,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
27,FP_ModernMethod,->,FP_BirthsLast5Yrs
28,FP_ModernMethod,->,IMM_VitaminA1
29,GEO_Region,->,CUL_LanguageGroup
30,HOU_CookingFuel,->,BF_BreastfedMonths
31,HOU_CookingFuel,->,FP_ModernMethod
32,HOU_CookingFuel,->,WSH_ImprovedWaterSource
33,HOU_CookingFuel,->,WSH_SafeStoolDisposal
34,HOU_CookingFuel,->,WSH_WaterTreated
35,HOU_CookingFuel,->,HOU_ModernWallMaterial
36,IMM_Diptheria,->,IMM_Measles
37,IMM_Diptheria,->,IMM_VitaminA1
38,IMM_Measles,->,IMM_VitaminA1
39,KNW_WatchTV,->,BF_BottleFeeding
40,KNW_WatchTV,->,FP_ModernMethod
41,KNW_WatchTV,->,WSH_ImprovedWaterSource
42,MTH_Education,->,BF_BottleFeeding
43,MTH_MaternalAge,->,BF_BreastfedMonths
44,MTH_MaternalAge,->,CUL_Religion
45,MTH_MaternalAge,->,ECO_WealthQuintile
46,MTH_MaternalAge,->,FP_ModernMethod
47,MTH_MaternalAge,->,SRV_Near
48,SRV_Near,->,BF_BottleFeeding
49,SRV_OKAlone,->,CUL_LanguageGroup
50,SRV_OKAlone,->,CUL_Religion
51,SRV_OKAlone,->,DIA_HadDiarrhoea
52,SRV_OKAlone,->,ECO_WealthQuintile
53,SRV_OKAlone,->,SRV_Near
54,SRV_OKAlone,->,MTH_MaternalAge
55,WSH_WashWithAgent,->,DIA_HadDiarrhoea
56,WSH_WaterTreated,->,DIA_HadDiarrhoea
