ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,DIA_HadDiarrhoea
5,BF_BreastfedMonths,->,IMM_Diptheria
6,CHI_Age,->,BF_BottleFeeding
7,CHI_Age,->,BF_BreastfedMonths
8,CHI_Age,->,CHI_Weight4Height
9,CHI_Age,->,DIA_HadDiarrhoea
10,CHI_Age,->,IMM_Diptheria
11,CHI_Age,->,IMM_Measles
12,CHI_Age,->,IMM_VitaminA1
13,CHI_Age,->,WSH_SafeStoolDisposal
14,CUL_LanguageGroup,->,BF_BottleFeeding
15,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
16,CUL_LanguageGroup,->,CUL_Religion
17,CUL_LanguageGroup,->,ECO_WealthQuintile
18,CUL_LanguageGroup,->,FP_BirthsLast5Yrs
19,CUL_LanguageGroup,->,FP_ModernMethod
20,CUL_LanguageGroup,->,HOU_CookingFuel
21,CUL_LanguageGroup,->,HOU_ModernWallMaterial
22,CUL_LanguageGroup,->,IMM_VitaminA1
23,CUL_LanguageGroup,->,KNW_WatchTV
24,CUL_LanguageGroup,->,MTH_Education
25,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
26,CUL_LanguageGroup,->,WSH_WashWithAgent
27,CUL_LanguageGroup,->,WSH_WaterTreated
28,CUL_Religion,->,ECO_WealthQuintile
29,CUL_Religion,->,FP_BirthsLast5Yrs
30,CUL_Religion,->,FP_ModernMethod
31,CUL_Religion,->,HOU_CookingFuel
32,CUL_Religion,->,HOU_ModernWallMaterial
33,CUL_Religion,->,IMM_Measles
34,CUL_Religion,->,KNW_WatchTV
35,CUL_Religion,->,MTH_Education
36,CUL_Religion,->,SRV_Near
37,CUL_Religion,->,SRV_OKAlone
38,CUL_Religion,->,WSH_ImprovedToilet
39,CUL_Religion,->,WSH_ImprovedWaterSource
40,CUL_Religion,->,WSH_WaterTreated
41,ECO_WealthQuintile,->,BF_BottleFeeding
42,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
43,ECO_WealthQuintile,->,HOU_CookingFuel
44,ECO_WealthQuintile,->,HOU_ModernWallMaterial
