ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_EarlyBreastfeeding
2,BF_BottleFeeding,->,BF_GoodBreastfeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,BF_GoodBreastfeeding
5,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
6,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
7,CHI_Age,->,BF_BreastfedMonths
8,CHI_Age,->,IMM_Measles
9,CHI_Age,->,WSH_SafeStoolDisposal
10,CHI_Weight4Height,->,DIA_HadDiarrhoea
11,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
12,CUL_LanguageGroup,->,CUL_Religion
13,CUL_LanguageGroup,->,HOU_ModernWallMaterial
14,CUL_Religion,->,CHI_Weight4Height
15,CUL_Religion,->,HOU_ModernWallMaterial
16,ECO_WealthQuintile,->,KNW_WatchTV
17,ECO_WealthQuintile,->,MTH_Education
18,ECO_WealthQuintile,->,WSH_ImprovedToilet
19,ECO_WealthQuintile,->,WSH_WashWithAgent
20,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
21,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
22,FP_ModernMethod,->,FP_BirthsLast5Yrs
23,FP_ModernMethod,->,IMM_Diptheria
24,GEO_Region,->,CUL_LanguageGroup
25,GEO_Region,->,WSH_ImprovedToilet
26,GEO_Region,->,WSH_ImprovedWaterSource
27,GEO_Region,->,WSH_WaterTreated
28,HOU_CookingFuel,->,WSH_ImprovedWaterSource
29,HOU_CookingFuel,->,WSH_WaterTreated
30,HOU_ModernWallMaterial,->,HOU_CookingFuel
31,HOU_ModernWallMaterial,->,WSH_WashWithAgent
32,IMM_Diptheria,->,IMM_VitaminA1
33,IMM_Diptheria,->,IMM_WellProtected
34,IMM_Measles,->,IMM_Diptheria
35,IMM_Measles,->,IMM_VitaminA1
36,IMM_Measles,->,IMM_WellProtected
37,IMM_VitaminA1,->,CHI_Weight4Height
38,IMM_VitaminA1,->,IMM_WellProtected
39,IMM_WellProtected,->,DIA_HadDiarrhoea
40,KNW_WatchTV,->,HOU_CookingFuel
41,KNW_WatchTV,->,MTH_Education
42,KNW_WatchTV,->,SRV_Near
43,MTH_Education,->,FP_BirthsLast5Yrs
44,MTH_Education,->,WSH_WaterTreated
45,MTH_MaternalAge,->,CHI_Age
46,MTH_MaternalAge,->,CUL_Religion
47,MTH_MaternalAge,->,DEL_SmallBaby
48,MTH_MaternalAge,->,FP_ModernMethod
49,SRV_Accessible,->,BF_BottleFeeding
50,SRV_Accessible,->,FP_ModernMethod
51,SRV_Near,->,DEL_SmallBaby
52,SRV_Near,->,SRV_Accessible
53,SRV_Near,->,SRV_OKAlone
54,SRV_OKAlone,->,SRV_Accessible
55,WSH_GoodWASH,->,DIA_HadDiarrhoea
56,WSH_ImprovedToilet,->,WSH_GoodWASH
57,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
58,WSH_ImprovedWaterSource,->,WSH_GoodWASH
59,WSH_ImprovedWaterSource,->,WSH_WaterTreated
60,WSH_SafeStoolDisposal,->,WSH_GoodWASH
61,WSH_WashWithAgent,->,BF_BottleFeeding
62,WSH_WashWithAgent,->,CHI_Weight4Height
