ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,BF_GoodBreastfeeding
5,BF_EarlyBreastfeeding,->,BF_BreastfedMonths
6,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
7,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
8,CHI_Age,->,BF_BreastfedMonths
9,CHI_Age,->,BF_EarlyBreastfeeding
10,CHI_Age,->,DIA_HadDiarrhoea
11,CHI_Weight4Height,->,DIA_HadDiarrhoea
12,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
13,CUL_LanguageGroup,->,CHI_Weight4Height
14,CUL_LanguageGroup,->,ECO_WealthQuintile
15,CUL_Religion,->,CHI_Age
16,CUL_Religion,->,CHI_Weight4Height
17,CUL_Religion,->,CUL_LanguageGroup
18,CUL_Religion,->,ECO_WealthQuintile
19,CUL_Religion,->,FP_ModernMethod
20,CUL_Religion,->,KNW_WatchTV
21,ECO_WealthQuintile,->,CHI_Weight4Height
22,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
23,ECO_WealthQuintile,->,KNW_WatchTV
24,ECO_WealthQuintile,->,WSH_ImprovedToilet
25,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
26,FP_BirthsLast5Yrs,->,CHI_Age
27,GEO_Region,->,BF_EarlyBreastfeeding
28,GEO_Region,->,CUL_LanguageGroup
29,GEO_Region,->,WSH_ImprovedWaterSource
30,IMM_Diptheria,->,IMM_WellProtected
31,IMM_Measles,->,IMM_Diptheria
32,IMM_Measles,->,IMM_WellProtected
33,IMM_VitaminA1,->,IMM_Diptheria
34,IMM_VitaminA1,->,IMM_Measles
35,IMM_VitaminA1,->,IMM_WellProtected
36,MTH_Education,->,KNW_WatchTV
37,SRV_Near,->,SRV_Accessible
38,SRV_OKAlone,->,SRV_Near
39,SRV_OKAlone,->,SRV_Accessible
40,WSH_ImprovedToilet,->,WSH_GoodWASH
41,IMM_WellProtected,->,DIA_HadDiarrhoea
42,WSH_GoodWASH,->,DIA_HadDiarrhoea
