ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
5,BF_BreastfedMonths,->,BF_GoodBreastfeeding
6,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
7,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
8,CHI_Age,->,BF_BreastfedMonths
9,CHI_Age,->,BF_EarlyBreastfeeding
10,CHI_Age,->,IMM_Measles
11,CHI_Weight4Height,->,DIA_HadDiarrhoea
12,CUL_LanguageGroup,->,BF_BottleFeeding
13,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
14,CUL_LanguageGroup,->,CHI_Weight4Height
15,CUL_LanguageGroup,->,CUL_Religion
16,CUL_LanguageGroup,->,ECO_WealthQuintile
17,CUL_Religion,->,CHI_Weight4Height
18,CUL_Religion,->,FP_ModernMethod
19,CUL_Religion,->,HOU_ModernWallMaterial
20,CUL_Religion,->,WSH_ImprovedWaterSource
21,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
22,ECO_WealthQuintile,->,HOU_CookingFuel
23,ECO_WealthQuintile,->,KNW_WatchTV
24,ECO_WealthQuintile,->,WSH_ImprovedToilet
25,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
26,FP_BirthsLast5Yrs,->,CHI_Age
27,FP_ModernMethod,->,CHI_Age
28,FP_ModernMethod,->,FP_BirthsLast5Yrs
29,GEO_Region,->,BF_EarlyBreastfeeding
30,GEO_Region,->,CUL_LanguageGroup
31,GEO_Region,->,CUL_Religion
32,GEO_Region,->,HOU_CookingFuel
33,GEO_Region,->,WSH_ImprovedWaterSource
34,HOU_CookingFuel,->,WSH_ImprovedWaterSource
35,HOU_CookingFuel,->,WSH_WaterTreated
36,HOU_ModernWallMaterial,->,HOU_CookingFuel
37,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
38,IMM_Diptheria,->,BF_BreastfedMonths
39,IMM_Diptheria,->,IMM_Measles
40,IMM_Diptheria,->,IMM_VitaminA1
41,IMM_Diptheria,->,IMM_WellProtected
42,IMM_Measles,->,IMM_WellProtected
43,IMM_VitaminA1,->,IMM_Measles
44,IMM_VitaminA1,->,IMM_WellProtected
45,KNW_WatchTV,->,FP_ModernMethod
46,MTH_Education,->,KNW_WatchTV
47,MTH_MaternalAge,->,FP_BirthsLast5Yrs
48,MTH_MaternalAge,->,MTH_Education
49,SRV_Near,->,SRV_Accessible
50,SRV_OKAlone,->,SRV_Near
51,SRV_OKAlone,->,SRV_Accessible
52,WSH_ImprovedToilet,->,CHI_Weight4Height
53,WSH_ImprovedToilet,->,WSH_GoodWASH
54,WSH_WashWithAgent,->,WSH_SafeStoolDisposal
55,WSH_WaterTreated,->,WSH_SafeStoolDisposal
56,IMM_WellProtected,->,DIA_HadDiarrhoea
57,WSH_GoodWASH,->,DIA_HadDiarrhoea
