ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
5,BF_BreastfedMonths,->,BF_GoodBreastfeeding
6,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
7,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
8,CHI_Age,->,BF_BottleFeeding
9,CHI_Age,->,BF_BreastfedMonths
10,CHI_Age,->,BF_EarlyBreastfeeding
11,CHI_Age,->,IMM_Measles
12,CHI_Weight4Height,->,DIA_HadDiarrhoea
13,CUL_LanguageGroup,->,CUL_Religion
14,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
15,CUL_Religion,->,HOU_ModernWallMaterial
16,CUL_Religion,->,KNW_WatchTV
17,CUL_Religion,->,WSH_ImprovedWaterSource
18,ECO_WealthQuintile,->,WSH_ImprovedToilet
19,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
20,FP_BirthsLast5Yrs,->,CHI_Age
21,GEO_Region,->,CUL_LanguageGroup
22,GEO_Region,->,WSH_ImprovedWaterSource
23,GEO_Region,->,WSH_WaterTreated
24,HOU_CookingFuel,->,HOU_ModernWallMaterial
25,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
26,IMM_Diptheria,->,IMM_VitaminA1
27,IMM_Diptheria,->,IMM_WellProtected
28,IMM_Measles,->,IMM_Diptheria
29,IMM_Measles,->,IMM_VitaminA1
30,IMM_Measles,->,IMM_WellProtected
31,IMM_VitaminA1,->,IMM_WellProtected
32,KNW_WatchTV,->,MTH_Education
33,MTH_MaternalAge,->,CHI_Age
34,MTH_MaternalAge,->,FP_BirthsLast5Yrs
35,MTH_MaternalAge,->,MTH_Education
36,SRV_Near,->,SRV_OKAlone
37,SRV_Near,->,SRV_Accessible
38,SRV_OKAlone,->,SRV_Accessible
39,WSH_ImprovedToilet,->,WSH_GoodWASH
40,WSH_ImprovedWaterSource,->,WSH_GoodWASH
41,WSH_WaterTreated,->,WSH_GoodWASH
42,IMM_WellProtected,->,DIA_HadDiarrhoea
43,WSH_GoodWASH,->,DIA_HadDiarrhoea
